paper,publication date (first revision),link,model family,model,param count,other models studied,notes,MMLU Accuracy
"M. Costa-jussà, E. Smith, C. Ropers, D. Licht, J. Maillard, J. Ferrando, and C. Escolano. Toxicity in
multilingual machine translation at scale.",2022-10-06,https://arxiv.org/abs/2210.03070,NLLB,NLLB-200,3300000000,NLLB-200 3.3B,,0
"Z. Li, N. Zhang, Y. Yao, M. Wang, X. Chen, and H. Chen. Unveiling the pitfalls of knowledge editing for
large language models.",2023-10-03,https://arxiv.org/abs/2310.02129,GPT-J,GPT-J 6B,6000000000,"GPT2-XL, GPT-J",,27.04
"A. Gupta, A. Rao, and G. K. Anumanchipalli. Model editing at scale leads to gradual and catastrophic forgetting. ",2024-01-15,https://arxiv.org/abs/2401.07453,GPT-J,GPT-J 6B,6000000000,also studied gpt2-xl 1.5b,,27.04
"E. Hernandez, A. S. Sharma, T. Haklay, K. Meng, M. Wattenberg, J. Andreas, Y. Belinkov, and D. Bau. Linearity of relation decoding in transformer language models. ",2023-08-17,https://arxiv.org/abs/2308.09124,GPT-J,GPT-J 6B,6000000000,"in appendix: GPT-2-XL, Llama-13B",,27.04
"B. Deiseroth, M. Deb, S. Weinbach, M. Brack, P. Schramowski, and K. Kersting. Atman: Understanding transformer predictions through memory efficient attention manipulation.",2023-01-19,https://arxiv.org/abs/2301.08110,GPT-J,GPT-J 6B,6000000000,,,27.04
"M. Geva, J. Bastings, K. Filippova, and A. Globerson. Dissecting recall of factual associations in autoregressive language models.",2023-04-28,https://arxiv.org/abs/2304.14767,GPT-J,GPT-J 6B,6000000000,GPT-2 and GPTJ,,27.04
"P. Hase, M. Bansal, B. Kim, and A. Ghandeharioun. Does localization inform editing? surprising differences in
causality-based localization vs. knowledge editing in language models.",2023-01-10,https://arxiv.org/abs/2301.04213,GPT-J,GPT-J 6B,6000000000,GPT-J,,27.04
Z. Zhao and B. Shan. Reagent: A model-agnostic feature attribution method for generative language models.,2024-02-01,https://arxiv.org/abs/2402.00794,OPT,OPT 6.7B,6700000000,"GPT-{354M,1.5B,6B}, OPT-{350M,1.3B,6.7B}",,24.57
"A. Arora, D. Jurafsky, and C. Potts. Causalgym: Benchmarking causal interpretability methods on linguistic
tasks.",2024-02-19,https://arxiv.org/abs/2402.12560,Pythia,Pythia 6.9B,6900000000,14M-6.9B,,26.48
"W. Gurnee, N. Nanda, M. Pauly, K. Harvey, D. Troitskii, and D. Bertsimas. Finding neurons in a haystack:
Case studies with sparse probing.",2023-05-02,https://arxiv.org/abs/2305.01610,Pythia,Pythia 6.9B,6900000000,,,26.48
"Y. Tian, Y. Wang, Z. Zhang, B. Chen, and S. S. Du. JoMA: Demystifying multilayer transformers via joint
dynamics of MLP and attention.",2023-10-01,https://arxiv.org/abs/2310.00535,Pythia,Pythia 6.9B,6900000000,"OPT-2.7B, pythia-70M, pythia-1.4B",,26.48
"S. Rajamanoharan, A. Conmy, L. Smith, T. Lieberum, V. Varma, J. Kramár, R. Shah, and N. Nanda. Improving
dictionary learning with gated sparse autoencoders. ",2024-04-24,https://arxiv.org/abs/2404.16014,gemma,Gemma-7B,7000000000,also used pythia-2.8B and gelu-1l (3.1M),,64.56
"Z. Wu, A. Geiger, T. Icard, C. Potts, and N. Goodman. Interpretability at scale: Identifying causal mechanisms
in alpaca.",2023-05-15,https://arxiv.org/abs/2305.08809,Llama,Alpaca,7000000000,notes,Alpaca is fine tuned Llama,0
"K. Li, O. Patel, F. Viégas, H. Pfister, and M. Wattenberg. Inference-time intervention: Eliciting truthful answers
from a language model. ",2023-06-06,https://arxiv.org/abs/2306.03341,Llama,Llama 7B,7000000000,,,35.1
"A. Stolfo, Y. Belinkov, and M. Sachan. A mechanistic interpretation of arithmetic reasoning in language
models using causal mediation analysis.",2023-05-24,https://arxiv.org/abs/2305.15054,Llama,Llama 7B,7000000000,also studied gpt-j 6b and pythia 2.8b,,35.1
"Z. Yu and S. Ananiadou. Locating factual knowledge in large language models: Exploring the residual stream
and analyzing subvalues in vocabulary space.",2023-12-19,https://arxiv.org/abs/2312.12141,Llama,Llama 7B,7000000000,"GPT2-L, llama-7B",,35.1
"A. Lv, K. Zhang, Y. Chen, Y. Wang, L. Liu, J.-R. Wen, J. Xie, and R. Yan. Interpreting key mechanisms of
factual recall in transformer-based language models.",2024-03-28,https://arxiv.org/abs/2403.19521,Llama-2,Llama-2 7B,7000000000,also studied all size of gpt-2 and 1.3b OPT,,46.085
"A. Gupta, D. Sajnani, and G. Anumanchipalli. A unified framework for model editing.",2024-03-21,https://arxiv.org/abs/2403.14236,Llama-2,Llama-2 7B,7000000000,also studied gpt2-xl 1.5b and gpt-j 6b,,46.085
"K. Park, Y. J. Choe, and V. Veitch. The linear representation hypothesis and the geometry of large language
models.",2023-11-07,https://arxiv.org/abs/2311.03658,Llama-2,Llama-2 7B,7000000000,,,46.085
A. Azaria and T. Mitchell. The internal state of an LLM knows when it’s lying.,2023-04-26,https://arxiv.org/abs/2304.13734,Llama-2,Llama-2 7B,7000000000,also opt-6.7b,,46.085
"Y. Jiang, G. Rajendran, P. Ravikumar, B. Aragam, and V. Veitch. On the origins of linear representations in
large language models",2024-03-06,https://arxiv.org/abs/2403.03867,Llama-2,Llama-2 7B,7000000000,,,46.085
"J. Huang, Z. Wu, C. Potts, M. Geva, and A. Geiger. Ravel: Evaluating interpretability methods on disentangling
language model representations.",2024-02-27,https://arxiv.org/abs/2402.17700,Llama-2,Llama-2 7B,7000000000,,,46.085
"J.-C. Gu, H. Xu, J.-Y. Ma, P. Lu, Z.-H. Ling, K. wei Chang, and N. Peng. Model editing can hurt general
abilities of large language models. ",2024-01-09,https://arxiv.org/abs/2401.04700,Llama-2,Llama-2 7B,7000000000,gpt2-xl,,46.085
"S. Singh, S. Ravfogel, J. Herzig, R. Aharoni, R. Cotterell, and P. Kumaraguru. Mimic: Minimally modified
counterfactuals in the representation space.",2024-02-15,https://arxiv.org/abs/2402.09631,Llama-2,Llama-2 7B,7000000000,steering method,,46.085
"N. Prakash, T. R. Shaham, T. Haklay, Y. Belinkov, and D. Bau. Fine-tuning enhances existing mechanisms: A
case study on entity tracking. ",2024-02-22,https://arxiv.org/abs/2402.14811,Llama-2,Llama-2 7B,7000000000,"LLama-7b, Vicuna 7B, Goat-7B, Float-7B",,46.085
"P. Sharma, J. T. Ash, and D. Misra. The truth is in there: Improving reasoning with layer-selective rank
reduction. ",2023-12-21,https://arxiv.org/abs/2312.13558,Llama-2,Llama-2 7B,7000000000,"roberta, gptj, llama2",,46.085
"R. Gould, E. Ong, G. Ogden, and A. Conmy. Successor heads: Recurring, interpretable attention heads in the
wild. ",2023-12-14,https://arxiv.org/abs/2312.09230,Llama-2,Llama-2 7B,7000000000,"pythia 1.4b, gpt2xl, llama2 7b",,46.085
"R. Achtibat, S. M. V. Hatefi, M. Dreyer, A. Jain, T. Wiegand, S. Lapuschkin, and W. Samek. AttnLRP:
Attention-aware layer-wise relevance propagation for transformers.",2024-02-08,https://arxiv.org/abs/2402.05602,Llama-2,Llama-2 7B,7000000000,"llama-2-7b, mistral 7b",,46.085
"K. Amara, R. Sevastjanova, and M. El-Assady. Syntaxshap: Syntax-aware explainability method for text
generation.",2024-02-14,https://arxiv.org/abs/2402.09259,Mistral,Mistral 7B,7000000000,gpt2-medium,,61.64
"M. Avitan, R. Cotterell, Y. Goldberg, and S. Ravfogel. What changed? converting representational interventions
to natural language.",2024-02-17,https://arxiv.org/abs/2402.11355,Mistral,Mistral 7B,7000000000,Mistral7b and GPT2,,61.64
"G. Paulo, T. Marshall, and N. Belrose. Does transformer interpretability transfer to rnns?",2024-04-09,https://arxiv.org/abs/2404.05971,RWKV v5,RWKV v5,7000000000,also incl. 2.7B models,,31
"A. M. Turner, L. Thiergart, D. Udell, G. Leech, U. Mini, and M. MacDiarmid. Activation addition: Steering
language models without optimization.",2023-08-20,https://arxiv.org/abs/2308.10248,Llama-3,Llama-3 8B,8000000000,"also studied OPT, GPT-2-xl 1.5b , and GPT-J",,66.7
"C. Burns, H. Ye, D. Klein, and J. Steinhardt. Discovering latent knowledge in language models without supervision. In The Eleventh International Conference on Learning Representations.",2022-12-07,https://arxiv.org/abs/2212.03827,t5,t5-xxl,11000000000,"UnifiedQA, T0, GPT-J, RoBERTa, DeBERTa",,0
"E. Mitchell, C. Lin, A. Bosselut, C. Finn, and C. D. Manning. Fast model editing at scale.",2021-10-21,https://arxiv.org/abs/2110.11309,t5,t5-xxl,11000000000,"T5-XL (2.8B), GPT-J (6B), GPT-Neo (2.7B), BERT-base (110M), BART-base (139M), distilGPT-2 (82M)",,0
"A. Langedijk, H. Mohebbi, G. Sarti, W. Zuidema, and J. Jumelet. Decoderlens: Layerwise interpretation of
encoder-decoder transformers.",2023-10-05,https://arxiv.org/abs/2310.03686,flan-t5,flan-t5-xxl,11300000000,"also studied: custom small transformer, nllb-600m and whisper",,55.1
"J. Kramár, T. Lieberum, R. Shah, and N. Nanda. Atp*: An efficient and scalable method for localizing llm
behaviour to components.",2024-03-01,https://arxiv.org/abs/2403.00745,Pythia,Pythia 12B,12000000000,,,26.76
"Z. Wu, A. Arora, Z. Wang, A. Geiger, D. Jurafsky, C. D. Manning, and C. Potts. Reft: Representation finetuning
for language models.",2024-04-04,https://arxiv.org/abs/2404.03592,Llama,Llama 13B,13000000000,"Llama-7B, Llama-13B, Llama-2-7B, Llama-3-8B, RoBERTa-base, RoBERTa-large",,46.9
"C. Chen, K. Liu, Z. Chen, Y. Gu, Y. Wu, M. Tao, Z. Fu, and J. Ye. INSIDE: LLMs’ internal states retain the
power of hallucination detection. ",2024-02-06,https://arxiv.org/abs/2402.03744,Llama,Llama 7B,13000000000,llama 7b,,35.1
"A. Ghandeharioun, A. Caciularu, A. Pearce, L. Dixon, and M. Geva. Patchscopes: A unifying framework for
inspecting hidden representations of language models.",2024-01-11,https://arxiv.org/abs/2401.06102,Llama-2,Llama-2 13B,13000000000,"also studied vicuna 13b, gpt-j 6b and pythia 12b",,55.285
"Y. Kwon, E. Wu, K. Wu, and J. Zou. Datainf: Efficiently estimating data influence in loRA-tuned LLMs
and diffusion models.",2023-10-02,https://arxiv.org/abs/2310.00902,Llama-2,Llama-2 13B,13000000000,"RoBERTa-large, Llama-2-13B-chat, stable-diffusion-v-1.5",,55.285
"M. Sun, X. Chen, J. Z. Kolter, and Z. Liu. Massive activations in large language models.",2024-02-27,https://arxiv.org/abs/2402.17762,Llama-2,Llama-2 13B,13000000000,"LLaMA2-7B, LLaMA2-13B, Phi2, Mistral-8x7B, CLIP ViT-L, DINOv2 ViT-L MAE ViT-L",,55.285
"S. CH-Wang, B. V. Durme, J. Eisner, and C. Kedzie. Do androids know they’re only dreaming of electric
sheep?.",2023-12-28,https://arxiv.org/abs/2312.17249v1,Llama-2,Llama-2 13B,13000000000,llama2-13b,,55.285
"N. Varshney, W. Yao, H. Zhang, J. Chen, and D. Yu. A stitch in time saves nine: Detecting and mitigating
hallucinations of llms by validating low-confidence generation.",2023-07-08,https://arxiv.org/abs/2307.03987,Llama-2,Vicuna-13b,13000000000,"gpt 3.5, vicuna-13B",,56.67
"X. L. Li, A. Holtzman, D. Fried, P. Liang, J. Eisner, T. Hashimoto, L. Zettlemoyer, and M. Lewis. Contrastive
decoding: Open-ended text generation as optimization.",2022-10-27,https://arxiv.org/abs/2210.15097,OPT,OPT 13B,13000000000,"OPT13-13B, OPT-125M",,24.9
"K. Meng, A. S. Sharma, A. J. Andonian, Y. Belinkov, and D. Bau. Mass-editing memory in a transformer.",2022-10-13,https://arxiv.org/abs/2210.07229,GPT-NeoX,GPT-NeoX,20000000000,GPT-J (6B) and GPT-NeoX (20B),,29.3
"Y. Yao, P. Wang, B. Tian, S. Cheng, Z. Li, S. Deng, H. Chen, and N. Zhang. Editing large language models:
Problems, methods, and opportunities.",2023-05-22,https://arxiv.org/abs/2305.13172,GPT-NeoX,GPT-NeoX,20000000000,"T5-XL, GPT-J, OPT-13B, GPT-NEOX-20B",,29.3
"R. Hendel, M. Geva, and A. Globerson. In-context learning creates task vectors.",2023-10-24,https://arxiv.org/abs/2310.15916,Llama,Llama 30B,30000000000,llama 30B,,57.8
"W. Wu, Y. Wang, G. Xiao, H. Peng, and Y. Fu. Retrieval head mechanistically explains long-context factuality.",2024-04-24,https://arxiv.org/abs/2404.15574,Yi,Yi-34B,34000000000,"llama2-7b, llama2-13B, mistral-7B, mixtral-8x7B, Yi-6B, Yi-34B, Qwen1.5-14B",,75.56
"Y.-S. Chuang, Y. Xie, H. Luo, Y. Kim, J. R. Glass, and P. He. Dola: Decoding by contrasting layers improves
factuality in large language models. ",2023-09-07,https://arxiv.org/abs/2309.03883,Llama,Llama 65B,65000000000,"llama-7B, llama-13B, llama-33B, llama-65B. 65B used for only one figure",,66.15
"E. Voita, J. Ferrando, and C. Nalmpantis. Neurons in large language models: Dead, n-gram, positional.",2023-09-09,https://arxiv.org/abs/2309.04827,OPT,OPT 66B,66000000000,studies across all OPT sizes; smallest is 125M,,31.495
"E. Todd, M. Li, A. S. Sharma, A. Mueller, B. C. Wallace, and D. Bau. LLMs represent contextual tasks as
compact function vectors. ",2023-10-23,https://arxiv.org/abs/2310.15213,Llama-2,Llama-2 70B,70000000000,"Llama-2 13B and 7B, GPT-J (6B), GPT-NeoX (20B)",,69.83
"T. Tang, W. Luo, H. Huang, D. Zhang, X. Wang, X. Zhao, F. Wei, and J.-R. Wen. Language-specific neurons:
The key to multilingual capabilities in large language models.",2024-02-26,https://arxiv.org/abs/2402.16438,Llama-2,Llama-2 70B,70000000000,"LLama-2 (70E10), llama-2 (7E9), llama-2 (1.3E10), BLOOM (7E9), OPT (6.7E9) Mistral (7E9), Phi-2 (2.7E9)",,69.83
W. Gurnee and M. Tegmark. Language models represent space and time.,2023-10-03,https://arxiv.org/abs/2310.02207,Llama-2,Llama-2 70B,70000000000,llama-2-70B,,69.83
"A. Madsen, S. Chandar, and S. Reddy. Are self-explanations from large language models faithful? ArXiv,
abs/2401.07927.",2024-01-15,https://arxiv.org/abs/2401.07927,Llama-2,Llama-2 70B,70000000000,"also studied Llama2 (7B), Falcon (40B, 7B),
and Mistral (7B)",,69.83
"A. Variengien and E. Winsor. Look before you leap: A universal emergent decomposition of retrieval tasks in
language models.",2023-12-13,https://arxiv.org/abs/2312.10091,Llama-2,Llama-2 70B,70000000000,"also studied gpt-2, pythia, falcon and llama-2 in all available sizes",,69.83
S. Marks and M. Tegmark. The geometry of truth: Emergent linear structure in large language model representations of true/false datasets.,2023-10-10,https://arxiv.org/abs/2310.06824,Llama-2,Llama-2 70B,70000000000,Used both llama-2-13B and llama-2-70B,,69.83
"A. Zou, L. Phan, S. Chen, J. Campbell, P. Guo, R. Ren, A. Pan, X. Yin, M. Mazeika, A.-K. Dombrowski,
S. Goel, N. Li, M. J. Byun, Z. Wang, A. Mallen, S. Basart, S. Koyejo, D. Song, M. Fredrikson, J. Z. Kolter,
and D. Hendrycks. Representation engineering: A top-down approach to ai transparency.",2023-10-2,https://arxiv.org/abs/2310.01405,Llama-2,Llama-2 70B,70000000000,,,69.83
"H. Chen, C. Vondrick, and C. Mao. Selfie: Self-interpretation of large language model embeddings.",2024-03-16,https://arxiv.org/abs/2403.10949,Llama-2,Llama-2 70B,70000000000,,,69.83
"G. Monea, M. Peyrard, M. Josifoski, V. Chaudhary, J. Eisner, E. Kıcıman, H. Palangi, B. Patra, and R. West.
A glitch in the matrix? locating and detecting language model grounding with fakepedia.",2023-12-04,https://arxiv.org/abs/2312.02073,Llama-2,Llama-2 70B,70000000000,"but also not mechanistic interpretability as they evaluate on closed models, too",,69.83
"G. Xiao, Y. Tian, B. Chen, S. Han, and M. Lewis. Efficient streaming language models with attention sinks.
Arxiv.",2023-09-29,https://arxiv.org/abs/2309.17453,Llama-2,Llama-2 70B,70000000000,"Llama-2-[7,13,70]B, Falcon-[7,40]B, Pythia-[2.8,6.9,12]B, and MPT-[7,30]B",,69.83
"N. Y. Siegel, O.-M. Camburu, N. Heess, and M. Perez-Ortiz. The probabilities also matter: A more faithful
metric for faithfulness of free-text explanations in large language models.",2024-04-04,https://arxiv.org/abs/2404.03189,Llama-2,Llama-2 70B,70000000000,Llama2-7b llama2-13b llama2-70b,,69.83
"S. Chen, M. Xiong, J. Liu, Z. Wu, T. Xiao, S. Gao, and J. He. In-context sharpness as alerts: An inner representation perspective for hallucination mitigation.",2024-03-03,https://arxiv.org/abs/2403.01548,Llama-2,Llama-2 70B,70000000000,Llama-2 models (chat),,69.83
"M. Yuksekgonul, V. Chandrasekaran, E. Jones, S. Gunasekar, R. Naik, H. Palangi, E. Kamar, and B. Nushi.
Attention satisfies: A constraint-satisfaction lens on factual errors of language models. ",2023-09-26,https://arxiv.org/abs/2309.15098,Llama-2,Llama-2 70B,70000000000,"LLama2-7B, LLama2-13B, LLama2-70B",,69.83
"Q. Wang, T. Anikina, N. Feldhus, J. van Genabith, L. Hennig, and S. Möller. Llmcheckup: Conversational
examination of large language models via interpretability tools.",2024-01-23,https://arxiv.org/abs/2401.12576,Lllama-2,Stable Beluga 2 70B,70000000000,stable beluga 2-70B,,68.79
"A. Arditi, O. Balcells, A. Syed, W. Gurnee, and N. Nanda. Refusal in llms is mediated by a single direction.",2024-06-17,https://arxiv.org/abs/2406.11717,QWEN Chat ,QWEN Chat 72B,72000000000,"Qwen chat 1.8B, 7B, 14B, 72B
Gemma instruction-tuned 2B, 7B
Yi chat 6B, 34B
Llama-3 instruct 8B, 70B",,77.48
"T. Dettmers, M. Lewis, Y. Belkada, and L. Zettlemoyer. Gpt3.int8(): 8-bit matrix multiplication for transformers at scale.",2022-08-15,https://arxiv.org/abs/2208.07339,OPT,OPT 175B,175000000000,sort of cheating because this is the tim dettmers LLM.int8() paper where the whole point was that it was possible to quantize big models,,0
"J. Merullo, C. Eickhoff, and E. Pavlick. A mechanism for solving relational tasks in transformer language
models.",2023-05-25,https://arxiv.org/abs/2305.16130,bloom,BLOOM (176B),176000000000,"GPT-2 (all variants), GPT-J",,34.975
