paper,year,link,model family,model,param count,notes,affiliations
"A. Haviv, I. Cohen, J. Gidron, R. Schuster, Y. Goldberg, and M. Geva. Understanding transformer memorization
recall through idioms. In A. Vlachos and I. Augenstein (eds.), Proceedings of the 17th Conference of the
European Chapter of the Association for Computational Linguistics, pp. 248–264, Dubrovnik, Croatia, May
2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.eacl-main.19. URL https:
//aclanthology.org/2023.eacl-main.19.",2023,https://aclanthology.org/2023.eacl-main.19,,gpt-2 medium,355000000,"also studied ROBERTA-BASE 125m, T5-BASE 223m, ELECTRA-BASE-GENERATOR 110m","Tel Aviv University, Wild Moose, Bar-Ilan University. Allen Institute for AI"
"G. Dar, M. Geva, A. Gupta, and J. Berant. Analyzing transformers in embedding space. In A. Rogers,
J. Boyd-Graber, and N. Okazaki (eds.), Proceedings of the 61st Annual Meeting of the Association for
Computational Linguistics (Volume 1: Long Papers), pp. 16124–16170, Toronto, Canada, July 2023.
Association for Computational Linguistics. doi: 10.18653/v1/2023.acl- long.893. URL https:
//aclanthology.org/2023.acl-long.893.",2023,https://aclanthology.org/2023.acl-long.893,,GPT-2-medium,355000000,,
"M. A. Lepori, T. Serre, and E. Pavlick. Uncovering intermediate variables in transformers using circuit probing,
2023.",2023,https://arxiv.org/pdf/2311.04354,,,355000000,GPT2-Small and GPT2-Medium,
"W. Rudman, C. Chen, and C. Eickhoff. Outlier dimensions encode task specific knowledge. In H. Bouamor,
J. Pino, and K. Bali (eds.), Proceedings of the 2023 Conference on Empirical Methods in Natural Language
Processing, pp. 14596–14605, Singapore, December 2023. Association for Computational Linguistics. doi:
10.18653/v1/2023.emnlp-main.901. URL https://aclanthology.org/2023.emnlp-main.901.",2023,https://aclanthology.org/2023.emnlp-main.901,,GPT2,410000000,"GPT2, BERT, ALBERT, DistilBERT, Pythia-70M, Pythia-160M, Pythia-410M",
"H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey. Sparse autoencoders find highly interpretable
features in language models. Arxiv, 2023. URL https://arxiv.org/abs/2309.08600.",2023,https://arxiv.org/abs/2309.08600,,pythia,410000000,and 110M,
"N. Durrani, F. Dalvi, and H. Sajjad. Discovering salient neurons in deep nlp models. Journal of Machine
Learning Research, 24(362):1–40, 2023. URL http://jmlr.org/papers/v24/23-0074.html.",2023,http://jmlr.org/papers/v24/23-0074.html,,xlm-roberta,550000000,"BERT, ROBERTA and XLNET",
"C. Guerner, A. Svete, T. Liu, A. Warstadt, and R. Cotterell. A geometric notion of causal probing, 2023.",2023,https://arxiv.org/abs/2307.15054,,gpt-2,774000000,,eth zurich
"J. Ferrando, G. I. Gállego, I. Tsiamas, and M. R. Costa-jussà. Explaining how transformers use context to
build predictions. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Proceedings of the 61st Annual
Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 5486–5513, Toronto,
Canada, July 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.acl-long.301. URL
https://aclanthology.org/2023.acl-long.301.",2023,https://aclanthology.org/2023.acl-long.301,,BLOOM,1100000000,"GPT-2 XL (1.5B) model (Radford et al., 2019), as in (Yin and Neubig, 2022), as well as other autoregressive Transformer language mod- els, such as GPT-2 Small (124M), and GPT-2 Large models (774M), OPT 125M (Zhang et al., 2022b), and BLOOM’s 560M and 1.1B variants",
"Q. Yu, J. Merullo, and E. Pavlick. Characterizing mechanisms for factual recall in language models. In
H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the 2023 Conference on Empirical Methods in
Natural Language Processing, pp. 9924–9959, Singapore, December 2023a. Association for Computational
Linguistics. doi: 10.18653/v1/2023.emnlp-main.615. URL https://aclanthology.org/2023.emnlp-m
ain.615.",2023,https://aclanthology.org/2023.emnlp-main.615,,,1400000000,"pythia, gpt2",
"Z. Wu, K. D’Oosterlinck, A. Geiger, A. Zur, and C. Potts. Causal proxy models for concept-based model explanations. In Proceedings of the 40th International Conference on Machine Learning, ICML’23. JMLR.org,
2023a.",2023,https://arxiv.org/abs/2209.14279,,GPT-2,1500000000,"bert-base-uncased, RoBERTa-base, gpt-2",
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Transformer language models handle word frequency
in prediction head. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Findings of the Association for
Computational Linguistics: ACL 2023, pp. 4523–4535, Toronto, Canada, July 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.findings-acl.276. URL https://aclanthology.org/202
3.findings-acl.276.",2023,https://aclanthology.org/2023.findings-acl.276,,gpt-2-xl,1500000000,"gpt-2-small to -large, bert-base and -large",
"J. Huang, A. Geiger, K. D’Oosterlinck, Z. Wu, and C. Potts. Rigorously assessing natural language explanations
of neurons. In Y. Belinkov, S. Hao, J. Jumelet, N. Kim, A. McCarthy, and H. Mohebbi (eds.), Proceedings
of the 6th BlackboxNLP Workshop: Analyzing and Interpreting Neural Networks for NLP, pp. 317–331,
Singapore, December 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.blackboxn
lp-1.24. URL https://aclanthology.org/2023.blackboxnlp-1.24.",2023,https://aclanthology.org/2023.blackboxnlp-1.24,,gpt-2-xl,1500000000,,
"N. Goldowsky-Dill, C. MacLeod, L. Sato, and A. Arora. Localizing model behavior with path patching. Arxiv,
2023. URL https://arxiv.org/abs/2304.05969.",2023,https://arxiv.org/abs/2304.05969,,,1500000000,"GPT-2 small, GPT2-XL",
"S. Heimersheim and A. Turner. Residual stream norms grow exponentially over the forward pass. AI Alignment
Forum, 2023. URL https://www.alignmentforum.org/posts/8mizBCm3dyc432nK8/residual-strea
m-norms-grow-exponentially-over-the-forward.",2023,https://www.alignmentforum.org/posts/8mizBCm3dyc432nK8/residual-stream-norms-grow-exponentially-over-the-forward,,,1500000000,"gpt2-small, gpt2-xl",
"B. Millidge and E. Winsor. Basic facts about language model internals. AI Alignment Forum, 2023. URL
https://www.alignmentforum.org/posts/PDLfpRwSynu73mxGw/basic-facts-about-language-mod
el-internals-1.",2023,https://www.alignmentforum.org/posts/PDLfpRwSynu73mxGw/basic-facts-about-language-model-internals-1,,gpt-2,1610000000,,Conjecture
"N. Belrose, Z. Furman, L. Smith, D. Halawi, I. Ostrovsky, L. McKinney, S. Biderman, and J. Steinhardt.
Eliciting latent predictions from transformers with the tuned lens. Arxiv, 2023a. URL https://arxiv.or
g/abs/2303.08112.",2023,https://arxiv.org/abs/2303.08112,,,2700000000,GPT2-Neo-2.7B,
"J. Qi, R. Fernández, and A. Bisazza. Cross-lingual consistency of factual knowledge in multilingual language
models. In H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the 2023 Conference on Empirical
Methods in Natural Language Processing, pp. 10650–10666, Singapore, December 2023. Association for
Computational Linguistics. doi: 10.18653/v1/2023.emnlp-main.658. URL https://aclanthology.org
/2023.emnlp-main.658.",2023,https://aclanthology.org/2023.emnlp-main.658,,BLOOM,3000000000,"Previous work on multilingual knowl- edge probing (Jiang et al., 2020; Kassner et al., 2021) focused on encoder-only PLMs, such as mBERT (Devlin et al., 2019) or XLM-RoBERTa (Liu et al., 2019). However, since decoder-only PLMs have become mainstream in the current NLP era, our experiments also include the decoder-only BLOOM series (560m, 1.1b, 1.7b, 3b parameters) (Scao et al., 2022) and the encoder-decoder mT5- large (1.2b) (Xue et al., 2021), in addition to the encoder-only XLM-RoBERTa-large (354m).",
"M. Costa-jussà, E. Smith, C. Ropers, D. Licht, J. Maillard, J. Ferrando, and C. Escolano. Toxicity in
multilingual machine translation at scale. In H. Bouamor, J. Pino, and K. Bali (eds.), Findings of the
Association for Computational Linguistics: EMNLP 2023, pp. 9570–9586, Singapore, December 2023.
Association for Computational Linguistics. doi: 10.18653/v1/2023.findings- emnlp.642. URL
https://aclanthology.org/2023.findings-emnlp.642.",2023,https://aclanthology.org/2023.findings-emnlp.642,,,3300000000,NLLB-200 3.3B,
"B. Deiseroth, M. Deb, S. Weinbach, M. Brack, P. Schramowski, and K. Kersting. Atman: Understanding transformer predictions through memory efficient attention manipulation. In A. Oh, T. Neumann, A. Globerson,
K. Saenko, M. Hardt, and S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36,
pp. 63437–63460. Curran Associates, Inc., 2023. URL https://proceedings.neurips.cc/paper_fil
es/paper/2023/file/c83bc020a020cdeb966ed10804619664-Paper-Conference.pdf.",2023,https://proceedings.neurips.cc/paper_files/paper/2023/file/c83bc020a020cdeb966ed10804619664-Paper-Conference.pdf,,gpt-j,6000000000,,"1Aleph Alpha 2Technical University Darmstadt
3Hessian Center for Artificial Intelligence (hessian.AI)
4German Center for Artificial Intelligence (DFKI) 5LAION"
"M. Geva, J. Bastings, K. Filippova, and A. Globerson. Dissecting recall of factual associations in autoregressive language models. In H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pp. 12216–12235, Singapore, December 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.emnlp-main.751. URL
https://aclanthology.org/2023.emnlp-main.751.",2023,https://aclanthology.org/2023.emnlp-main.751,,,6000000000,GPT-2 and GPTJ,
"P. Hase, M. Bansal, B. Kim, and A. Ghandeharioun. Does localization inform editing? surprising differences in
causality-based localization vs. knowledge editing in language models. In A. Oh, T. Neumann, A. Globerson,
K. Saenko, M. Hardt, and S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36,
pp. 17643–17668. Curran Associates, Inc., 2023. URL https://proceedings.neurips.cc/paper_fil
es/paper/2023/file/3927bbdcf0e8d1fa8aa23c26f358a281-Paper-Conference.pdf.",2023,https://proceedings.neurips.cc/paper_files/paper/2023/file/3927bbdcf0e8d1fa8aa23c26f358a281-Paper-Conference.pdf,,,6000000000,GPT-J,
"W. Gurnee, N. Nanda, M. Pauly, K. Harvey, D. Troitskii, and D. Bertsimas. Finding neurons in a haystack:
Case studies with sparse probing. Transactions on Machine Learning Research, 2023. ISSN 2835-8856.
URL https://openreview.net/forum?id=JYs1R9IMJr.",2023,https://openreview.net/forum?id=JYs1R9IMJr,,Pythia-7B,6900000000,,
"T. McGrath, M. Rahtz, J. Kramar, V. Mikulik, and S. Legg. The hydra effect: Emergent self-repair in language
model computations. Arxiv, 2023. URL https://arxiv.org/abs/2307.15771.",2023,https://arxiv.org/abs/2307.15771,,Chinchilla,7000000000,,
"Z. Wu, A. Geiger, T. Icard, C. Potts, and N. Goodman. Interpretability at scale: Identifying causal mechanisms
in alpaca. In A. Oh, T. Neumann, A. Globerson, K. Saenko, M. Hardt, and S. Levine (eds.), Advances in
Neural Information Processing Systems, volume 36, pp. 78205–78226. Curran Associates, Inc., 2023b. URL
https://proceedings.neurips.cc/paper_files/paper/2023/file/f6a8b109d4d4fd64c75e94aaf85
d9697-Paper-Conference.pdf.",2023,https://proceedings.neurips.cc/paper_files/paper/2023/file/f6a8b109d4d4fd64c75e94aaf85d9697-Paper-Conference.pdf,,Alpaca,7000000000,notes,Stanford
"A. Azaria and T. Mitchell. The internal state of an LLM knows when it’s lying. In H. Bouamor, J. Pino,
and K. Bali (eds.), Findings of the Association for Computational Linguistics: EMNLP 2023, pp. 967–976,
Singapore, December 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.findings-e
mnlp.68. URL https://aclanthology.org/2023.findings-emnlp.68.",2023,https://aclanthology.org/2023.findings-emnlp.68,,llama-2,7000000000,also opt-6.7b,
"A. Stolfo, Y. Belinkov, and M. Sachan. A mechanistic interpretation of arithmetic reasoning in language
models using causal mediation analysis. In H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the 2023
Conference on Empirical Methods in Natural Language Processing, pp. 7035–7052, Singapore, December
2023a. Association for Computational Linguistics. doi: 10.18653/v1/2023.emnlp-main.435. URL https:
//aclanthology.org/2023.emnlp-main.435.",2023,https://aclanthology.org/2023.emnlp-main.435,,llama,7000000000,also studied gpt-j 6b and pythia 2.8b,"ETH Zürich, Technion – IIT, Israel"
"K. Li, O. Patel, F. Viégas, H. Pfister, and M. Wattenberg. Inference-time intervention: Eliciting truthful answers
from a language model. In Thirty-seventh Conference on Neural Information Processing Systems, 2023a.
URL https://openreview.net/forum?id=aLLuYpn83y.",2023,https://openreview.net/forum?id=aLLuYpn83y,,llama,7000000000,,
"K. Park, Y. J. Choe, and V. Veitch. The linear representation hypothesis and the geometry of large language
models. Arxiv, 2023a. URL https://arxiv.org/abs/2311.03658.",2023,https://arxiv.org/abs/2311.03658,,llama-2,7000000000,,
"A. M. Turner, L. Thiergart, D. Udell, G. Leech, U. Mini, and M. MacDiarmid. Activation addition: Steering
language models without optimization, 2023.",2023,https://arxiv.org/abs/2308.10248,,llama-3,8000000000,"also studied OPT, GPT-2-xl 1.5b , and GPT-J","DeepMind, MIRI, University of Bristol, Arb Research, MATS, Anthropic"
"C. Burns, H. Ye, D. Klein, and J. Steinhardt. Discovering latent knowledge in language models without supervision. In The Eleventh International Conference on Learning Representations, 2023. URL
https://openreview.net/forum?id=ETKGuby0hcs.",2023,https://openreview.net/forum?id=ETKGuby0hcs,,t5,11000000000,"UnifiedQA, T0, GPT-J, RoBERTa, DeBERTa","UC Berkeley, Peking University, UC Berkeley, UC Berkeley"
"A. Langedijk, H. Mohebbi, G. Sarti, W. Zuidema, and J. Jumelet. Decoderlens: Layerwise interpretation of
encoder-decoder transformers. ArXiv, abs/2310.03686, 2023. URL https://api.semanticscholar.org/
CorpusID:263671583.",2023,https://api.semanticscholar.org/CorpusID:263671583,,flan-t5,11300000000,"also studied: custom small transformer, nllb-600m and whisper","1ILLC, University of Amsterdam 2CSAI, Tilburg University 3CLCG, University of Groningen"
"X. L. Li, A. Holtzman, D. Fried, P. Liang, J. Eisner, T. Hashimoto, L. Zettlemoyer, and M. Lewis. Contrastive
decoding: Open-ended text generation as optimization. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.),
Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long
Papers), pp. 12286–12312, Toronto, Canada, July 2023b. Association for Computational Linguistics. doi:
10.18653/v1/2023.acl-long.687. URL https://aclanthology.org/2023.acl-long.687.",2023,https://aclanthology.org/2023.acl-long.687,,OPT-13B,13000000000,"OPT13-13B, OPT-125M",
"S. CH-Wang, B. V. Durme, J. Eisner, and C. Kedzie. Do androids know they’re only dreaming of electric
sheep?, 2023. URL https://arxiv.org/abs/2312.17249v1.",2023,https://arxiv.org/abs/2312.17249v1,,,13000000000,llama2-13b,
"Y. Yao, P. Wang, B. Tian, S. Cheng, Z. Li, S. Deng, H. Chen, and N. Zhang. Editing large language models:
Problems, methods, and opportunities. In H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the
2023 Conference on Empirical Methods in Natural Language Processing, pp. 10222–10240, Singapore,
December 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.emnlp-main.632. URL
https://aclanthology.org/2023.emnlp-main.632.",2023,https://aclanthology.org/2023.emnlp-main.632,,GPT-NEOX-20B,20000000000,"T5-XL, GPT-J, OPT-13B, GPT-NEOX-20B","zhejiang university, national university of singapore"
"K. Meng, A. S. Sharma, A. J. Andonian, Y. Belinkov, and D. Bau. Mass-editing memory in a transformer. In
The Eleventh International Conference on Learning Representations, 2023. URL https://openreview.n
et/forum?id=MkbcAHIYgyS.",2023,https://openreview.net/forum?id=MkbcAHIYgyS,,GPT-NeoX,20000000000,GPT-J (6B) and GPT-NeoX (20B),
"R. Hendel, M. Geva, and A. Globerson. In-context learning creates task vectors. Arxiv, 2023. URL https:
//arxiv.org/abs/2310.15916.",2023,https://arxiv.org/abs/2310.15916,,,30000000000,llama2 30B,
"E. Voita, J. Ferrando, and C. Nalmpantis. Neurons in large language models: Dead, n-gram, positional. Arxiv,
2023. URL https://arxiv.org/abs/2309.04827.",2023,https://arxiv.org/abs/2309.04827,,OPT,66000000000,studies across all OPT sizes; smallest is 125M,
"S. Marks and M. Tegmark. The geometry of truth: Emergent linear structure in large language model representations of true/false datasets, 2023. URL https://arxiv.org/abs/2310.06824.",2023,https://arxiv.org/abs/2310.06824,,LLama-2-70B,70000000000,Used both llama-2-13B and llama-2-70B,
"T. Lieberum, M. Rahtz, J. Kramár, N. Nanda, G. Irving, R. Shah, and V. Mikulik. Does circuit analysis
interpretability scale? evidence from multiple choice capabilities in chinchilla. Arxiv, 2023. URL https:
//arxiv.org/abs/2307.09458.",2023,https://arxiv.org/abs/2307.09458,,Chinchilla,70000000000,Deepmind paper,
"A. Variengien and E. Winsor. Look before you leap: A universal emergent decomposition of retrieval tasks in
language models, 2023. URL https://arxiv.org/abs/2312.10091.",2023,https://arxiv.org/abs/2312.10091,,llama-2 ,70000000000,"also studied gpt-2, pythia, falcon and llama-2 in all available sizes","École Normale Supérieure de Lyon,
École Polytechnique Fédérale de Lausanne, Conjecture"
"A. Zou, L. Phan, S. Chen, J. Campbell, P. Guo, R. Ren, A. Pan, X. Yin, M. Mazeika, A.-K. Dombrowski,
S. Goel, N. Li, M. J. Byun, Z. Wang, A. Mallen, S. Basart, S. Koyejo, D. Song, M. Fredrikson, J. Z. Kolter,
and D. Hendrycks. Representation engineering: A top-down approach to ai transparency. Arxiv, 2023. URL
https://arxiv.org/abs/2310.01405.",2023,https://arxiv.org/abs/2310.01405,,llama-2-chat,70000000000,,"1Center for AI Safety
2Carnegie Mellon University
3UC Berkeley
4Stanford University
5EleutherAI
6University of Maryland
7Cornell University
8University of Pennsylvania
9University of Illinois Urbana-Champaign"
"G. Xiao, Y. Tian, B. Chen, S. Han, and M. Lewis. Efficient streaming language models with attention sinks.
Arxiv, 2023. URL https://arxiv.org/abs/2309.17453.",2023,https://arxiv.org/abs/2309.17453,,llama2,70000000000,"Llama-2-[7,13,70]B, Falcon-[7,40]B, Pythia-[2.8,6.9,12]B, and MPT-[7,30]B",
"J. Merullo, C. Eickhoff, and E. Pavlick. A mechanism for solving relational tasks in transformer language
models, 2023. URL https://arxiv.org/abs/2305.16130.",2023,https://arxiv.org/abs/2305.16130,,BLOOM,176000000000,"GPT-2 (all variants), GPT-J",
"N. Varshney, W. Yao, H. Zhang, J. Chen, and D. Yu. A stitch in time saves nine: Detecting and mitigating
hallucinations of llms by validating low-confidence generation, 2023. URL https://arxiv.org/abs/23
07.03987.",2023,https://arxiv.org/abs/2307.03987,,,,gpt 3.5,
"T. Mickus, D. Paperno, and M. Constant. How to dissect a Muppet: The structure of transformer embedding
spaces. Transactions of the Association for Computational Linguistics, 10:981–996, 2022. doi: 10.1162/ta
cl_a_00501. URL https://aclanthology.org/2022.tacl-1.57.",2022,https://aclanthology.org/2022.tacl-1.57,,bert-based-uncased,110000000,"some of the other BERT papers may have used bert-based-uncased, one of the smaller versions, as well. They have typically been slightly unclear about it.",
"A. Geiger, Z. Wu, H. Lu, J. Rozner, E. Kreiss, T. Icard, N. D. Goodman, and C. Potts. Inducing causal structure
for interpretable neural networks, 2022. URL https://arxiv.org/abs/2112.00826.",2022,https://arxiv.org/abs/2112.00826,,bert,110000000,,stanford
"D. Dai, L. Dong, Y. Hao, Z. Sui, B. Chang, and F. Wei. Knowledge neurons in pretrained transformers. In S. Muresan, P. Nakov, and A. Villavicencio (eds.), Proceedings of the 60th Annual Meeting of
the Association for Computational Linguistics (Volume 1: Long Papers), pp. 8493–8502, Dublin, Ireland,
May 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.acl-long.581. URL
https://aclanthology.org/2022.acl-long.581.",2022,https://aclanthology.org/2022.acl-long.581,,bert,110000000,,"†MOE Key Lab of Computational Linguistics, Peking University
‡Microsoft Research"
"J. Bastings, S. Ebert, P. Zablotskaia, A. Sandholm, and K. Filippova. “will you find these shortcuts?” a
protocol for evaluating the faithfulness of input salience methods for text classification. In Y. Goldberg,
Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural
Language Processing, pp. 976–991, Abu Dhabi, United Arab Emirates, December 2022. Association for
Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.64. URL https://aclanthology.org/2
022.emnlp-main.64.",2022,https://aclanthology.org/2022.emnlp-main.64,,bert-base,110000000,,
"P. Pezeshkpour, S. Jain, S. Singh, and B. Wallace. Combining feature and instance attribution to detect artifacts.
In S. Muresan, P. Nakov, and A. Villavicencio (eds.), Findings of the Association for Computational Linguistics: ACL 2022, pp. 1934–1946, Dublin, Ireland, May 2022. Association for Computational Linguistics.
doi: 10.18653/v1/2022.findings-acl.153. URL https://aclanthology.org/2022.findings-acl.153.",2022,https://aclanthology.org/2022.findings-acl.153,,,110000000,BERT,
"J. Ferrando, G. I. Gállego, and M. R. Costa-jussà. Measuring the mixing of contextual information in the
transformer. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on
Empirical Methods in Natural Language Processing, pp. 8698–8714, Abu Dhabi, United Arab Emirates,
December 2022b. Association for Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.595.
URL https://aclanthology.org/2022.emnlp-main.595.",2022,https://aclanthology.org/2022.emnlp-main.595,,bert-base,120000000,"BERT, DistilBERT and RoBERTa",
"M. Geva, A. Caciularu, K. Wang, and Y. Goldberg. Transformer feed-forward layers build predictions by
promoting concepts in the vocabulary space. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Proceedings
of the 2022 Conference on Empirical Methods in Natural Language Processing, pp. 30–45, Abu Dhabi,
United Arab Emirates, December 2022b. Association for Computational Linguistics. doi: 10.18653/v1/20
22.emnlp-main.3. URL https://aclanthology.org/2022.emnlp-main.3.",2022,https://aclanthology.org/2022.emnlp-main.3,,,124000000,WikiLM and GPT2-small,
"X. Wang, K. Wen, Z. Zhang, L. Hou, Z. Liu, and J. Li. Finding skill neurons in pre-trained transformer-based
language models. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on
Empirical Methods in Natural Language Processing, pp. 11132–11152, Abu Dhabi, United Arab Emirates,
December 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.765. URL
https://aclanthology.org/2022.emnlp-main.765.",2022,https://aclanthology.org/2022.emnlp-main.765,,RoBERTa-base,125000000,,
"G. Puccetti, A. Rogers, A. Drozd, and F. Dell’Orletta. Outlier dimensions that disrupt transformers are driven by
frequency. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Findings of the Association for Computational
Linguistics: EMNLP 2022, pp. 1286–1304, Abu Dhabi, United Arab Emirates, December 2022. Association
for Computational Linguistics. doi: 10.18653/v1/2022.findings-emnlp.93. URL https://aclanthology
.org/2022.findings-emnlp.93.",2022,https://aclanthology.org/2022.findings-emnlp.93,,roberta-base,125000000,bert-base 110M,
"A. Modarressi, M. Fayyaz, Y. Yaghoobzadeh, and M. T. Pilehvar. GlobEnc: Quantifying global token attribution by incorporating the whole encoder layer in transformers. In M. Carpuat, M.-C. de Marneffe, and
I. V. Meza Ruiz (eds.), Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 258–271, Seattle, United States,
July 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.naacl-main.19. URL
https://aclanthology.org/2022.naacl-main.19.",2022,https://aclanthology.org/2022.naacl-main.19,,bert-large-uncased,336000000,also studied bert-base-uncased 110m and electra 335m,"Iran University of Science and Technology, Iran 2 University of Tehran, Iran
3 Tehran Institute for Advanced Studies, Khatam University, Iran"
"S. Ravfogel, M. Twiton, Y. Goldberg, and R. D. Cotterell. Linear adversarial concept erasure. In K. Chaudhuri,
S. Jegelka, L. Song, C. Szepesvari, G. Niu, and S. Sabato (eds.), Proceedings of the 39th International
Conference on Machine Learning, volume 162 of Proceedings of Machine Learning Research, pp. 18400–
18421. PMLR, 17–23 Jul 2022. URL https://proceedings.mlr.press/v162/ravfogel22a.html.",2022,https://proceedings.mlr.press/v162/ravfogel22a.html,,BERT,340000000,didnt specify whether they used the big or small version of BERT,
"J. Ferrando, G. I. Gállego, B. Alastruey, C. Escolano, and M. R. Costa-jussà. Towards opening the black
box of neural machine translation: Source and target interpretations of the transformer. In Y. Goldberg,
Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural
Language Processing, pp. 8756–8769, Abu Dhabi, United Arab Emirates, December 2022a. Association for
Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.599. URL https://aclanthology.org
/2022.emnlp-main.599.",2022,https://aclanthology.org/2022.emnlp-main.599,,M2M,418000000,,
"C. Fierro and A. Søgaard. Factual consistency of multilingual pretrained language models. In S. Muresan,
P. Nakov, and A. Villavicencio (eds.), Findings of the Association for Computational Linguistics: ACL 2022,
pp. 3046–3052, Dublin, Ireland, May 2022. Association for Computational Linguistics. doi: 10.18653/v1/
2022.findings-acl.240. URL https://aclanthology.org/2022.findings-acl.240.",2022,https://aclanthology.org/2022.findings-acl.240,,XLM-RoBERTa,550000000,,University of Copenhagen
"E. Akyurek, T. Bolukbasi, F. Liu, B. Xiong, I. Tenney, J. Andreas, and K. Guu. Towards tracing knowledge
in language models back to the training data. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Findings
of the Association for Computational Linguistics: EMNLP 2022, pp. 2429–2446, Abu Dhabi, United Arab
Emirates, December 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.findings-e
mnlp.180. URL https://aclanthology.org/2022.findings-emnlp.180.",2022,https://aclanthology.org/2022.findings-emnlp.180,,mt5,580000000,,Google Research †MIT CSAIL
"E. Mitchell, C. Lin, A. Bosselut, C. D. Manning, and C. Finn. Memory-based model editing at scale. In
K. Chaudhuri, S. Jegelka, L. Song, C. Szepesvari, G. Niu, and S. Sabato (eds.), Proceedings of the 39th
International Conference on Machine Learning, volume 162 of Proceedings of Machine Learning Research,
pp. 15817–15831. PMLR, 17–23 Jul 2022b. URL https://proceedings.mlr.press/v162/mitchell2
2a.html.",2022,https://proceedings.mlr.press/v162/mitchell22a.html,,T5 large,770000000,"BERT-base (110M), BlenderBot-90M",
"X. Suau, L. Zappella, and N. Apostoloff. Self-conditioning pre-trained language models. International Conference on Machine Learning, 2022. URL https://proceedings.mlr.press/v162/cuadros22a/cuad
ros22a.pdf.",2022,https://proceedings.mlr.press/v162/cuadros22a/cuadros22a.pdf,,GPT2-L,774000000,,
"B. Millidge and S. Black. The singular value decompositions of transformer weight matrices are highly interpretable. AI Alignment Forum, 2022. URL https://www.alignmentforum.org/posts/mkbGjzxD8d8Xq
KHzA/the-singular-value-decompositions-of-transformer-weight.",2022,https://www.alignmentforum.org/posts/mkbGjzxD8d8XqKHzA/the-singular-value-decompositions-of-transformer-weight,,gpt-2,774000000,notes,Conjecture
"M. Geva, A. Caciularu, G. Dar, P. Roit, S. Sadde, M. Shlain, B. Tamir, and Y. Goldberg. LM-debugger: An interactive tool for inspection and intervention in transformer-based language models. In W. Che and E. Shutova
(eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing: System
Demonstrations, pp. 12–21, Abu Dhabi, UAE, December 2022a. Association for Computational Linguistics.
doi: 10.18653/v1/2022.emnlp-demos.2. URL https://aclanthology.org/2022.emnlp-demos.2.",2022,https://aclanthology.org/2022.emnlp-demos.2,,,774000000,GPT2 (Medium and Large),
