paper,affiliation,non-academia,publication date (first revision),link,model family,model,param count,other models studied,mmlu_accuracy,arc_accuracy,hellaswag_accuracy,notes
"A. Arora, D. Jurafsky, and C. Potts. Causalgym: Benchmarking causal interpretability methods on linguistic
tasks.",Stanford University,FALSE,2024-02-19,https://arxiv.org/abs/2402.12560,Pythia,Pythia 6.9B,6900000000,14M-6.9B,26.48,41.3,67.05,
"W. Gurnee, N. Nanda, M. Pauly, K. Harvey, D. Troitskii, and D. BERTsimas. Finding neurons in a haystack:
Case studies with sparse probing.","MIT, Harvard, Northeastern, Independent",FALSE,2023-05-02,https://arxiv.org/abs/2305.01610,Pythia,Pythia 6.9B,6900000000,,26.48,41.3,67.05,
"Y. Tian, Y. Wang, Z. Zhang, B. Chen, and S. S. Du. JoMA: Demystifying multilayer transformers via joint
dynamics of MLP and attention.","meta, university of washington, carnegie mellon, ut austin",TRUE,2023-10-01,https://arxiv.org/abs/2310.00535,Pythia,Pythia 6.9B,6900000000,"OPT-2.7B, Pythia-70M, Pythia-1.4B",26.48,41.3,67.05,
K. Yin and G. Neubig. Interpreting language models with contrastive explanations. ,"UC Berkeley, CMU",FALSE,2022-02-21,https://arxiv.org/abs/2202.10419,GPT-Neo,GPT-Neo 2.7B,2700000000,GPT-2 (1.5B parameters) and GPT-Neo (2.7 B),26.45,33.36,56.24,
"N. Belrose, Z. Furman, L. Smith, D. Halawi, I. Ostrovsky, L. McKinney, S. Biderman, and J. Steinhardt.
Eliciting latent predictions from transformers with the tuned lens.","EleutherAI, UC Berkeley, FAR AI, University of Toronto, Boston University",TRUE,2023-03-14,https://arxiv.org/abs/2303.08112,GPT-Neo,GPT-Neo 2.7B,2700000000,,26.45,33.36,56.24,
B. Millidge and S. Black. The singular value decompositions of transformer weight matrices are highly interpretable. ,Conjecture,FALSE,2022-11-28,https://www.alignmentforum.org/posts/mkbGjzxD8d8XqKHzA/the-singular-value-decompositions-of-transformer-weight,GPT-2,GPT-2 Large,774000000,,26.07,25.77,45.62,
"C. Guerner, A. Svete, T. Liu, A. Warstadt, and R. Cotterell. A geometric notion of causal probing.",ETH Zurich,FALSE,2023-07-23,https://arxiv.org/abs/2307.15054,GPT-2,GPT-2 Large,774000000,,26.07,25.77,45.62,
"C. Neo, S. B. Cohen, and F. Barez. Interpreting context look-ups in transformers: Investigating attention-mlp
interactions.","Apart Research, University of Edinburgh, University of Oxford, Nanyang Technological University",TRUE,2024-02-23,https://arxiv.org/abs/2402.15055,GPT-2,GPT-2 Large,774000000,,26.07,25.77,45.62,
"M. Geva, A. Caciularu, G. Dar, P. Roit, S. Sadde, M. Shlain, B. Tamir, and Y. Goldberg. LM-debugger: An interactive tool for inspection and intervention in transformer-based language models. ","AI2, BariIlan University, Tel Aviv University, The Hebrew University of Jerusalem",TRUE,2022-04-26,https://arxiv.org/abs/2204.12130,GPT-2,GPT-2 Large,774000000,GPT2 (Medium and Large),26.07,25.77,45.62,
"O. Kovaleva, S. Kulshreshtha, A. Rogers, and A. Rumshisky. BERT busters: Outlier dimensions that disrupt
transformers.","U-Mass Lowell, University of Copenhagen",FALSE,2021-05-14,https://arxiv.org/abs/2105.06990,GPT-2,GPT-2 Large,774000000,"ELECTRA, XLNet, BART, GPT2",26.07,25.77,45.62,
"X. Suau, L. Zappella, and N. Apostoloff. Finding experts in transformer models.",Apple,TRUE,2020-05-15,https://arxiv.org/abs/2005.07647,GPT-2,GPT-2 Large,774000000,"RoBERTa-L, DistilBERT, XLM, BERT-B, GPT2-S, BERT-L, GPT2-M",26.07,25.77,45.62,
"X. Suau, L. Zappella, and N. Apostoloff. Self-conditioning pre-trained language models.",Apple,TRUE,2021-09-30,https://arxiv.org/abs/2110.02802,GPT-2,GPT-2 Large,774000000,,26.07,25.77,45.62,
"B.-D. Oh and W. Schuler. Token-wise decomposition of autoregressive language model hidden states for
analyzing model predictions. ",Ohio State University,FALSE,2023-05-17,https://arxiv.org/abs/2305.10614,OPT,OPT 125M,125000000,,26.02,22.87,31.47,
J. Ferrando and E. Voita. Information flow routes: Automatically interpreting language models at scale. ,"Universitat Politecnica de Catalunya, Meta",TRUE,2024-02-27,https://arxiv.org/abs/2403.00824,OPT,OPT 125M,125000000,and GPT2-small,26.02,22.87,31.47,
"N. Stoehr, M. Gordon, C. Zhang, and O. Lewis. Localizing paragraph memorization in language models.","ETH Zurich, Google",TRUE,2024-03-28,https://arxiv.org/abs/2403.19851,GPT-Neo,GPT-Neo 125M,125000000,,25.97,22.95,30.26,
B. Wright and L. Sharkey. Addressing feature suppression in saes.,MATS,FALSE,2024-02-16,https://www.alignmentforum.org/posts/3JuSjTZyMzaSeTxKk/addressing-feature-suppression-in-saes,Pythia,Pythia 70M,70000000,,25.9,21.59,27.29,
"L. Quirke, L. Heindrich, W. Gurnee, and N. Nanda. Training dynamics of contextual n-grams in language
models.","Independent, MIT",FALSE,2023-11-01,https://arxiv.org/abs/2311.00863,Pythia,Pythia 70M,70000000,Pythia 70M,25.9,21.59,27.29,
"S. Marks, C. Rager, E. J. Michaud, Y. Belinkov, D. Bau, and A. Mueller. Sparse feature circuits: Discovering and editing interpretable causal graphs in language models.",Northeastern University,FALSE,2024-03-28,https://arxiv.org/abs/2403.19647,Pythia,Pythia 70M,70000000,,25.9,21.59,27.29,
"A. Conmy, A. Mavor-Parker, A. Lynch, S. Heimersheim, and A. Garriga-Alonso. Towards automated circuit
discovery for mechanistic interpretability. ","independent, university college london, university of cambridge",FALSE,2023-04-28,https://arxiv.org/abs/2304.14997,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
"A. Syed, C. Rager, and A. Conmy. Attribution patching outperforms automated circuit discovery.","University of Maryland, College Park, Independent, Independent",FALSE,2023-10-16,https://arxiv.org/abs/2310.10348,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
"B. Hoover, H. Strobelt, and S. Gehrmann. exBERT: A Visual Analysis Tool to Explore Learned Representations
in Transformer Models.","IBM Research, Harvard SEAS",TRUE,2019-10-11,https://arxiv.org/abs/1910.05276,GPT-2,GPT-2 Small,124000000,BERT,25.83,22.01,31.53,
"C. Kissane, R. Krzyzanowski, A. Conmy, and N. Nanda. Attention saes scale to GPT-2 small. ",MATS,FALSE,2024-02-03,https://www.alignmentforum.org/posts/FSTRedtjuHa4Gfdbr/attention-saes-scale-to-GPT-2-small,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
"C. McDougall, A. Conmy, C. Rushing, T. McGrath, and N. Nanda. Copy suppression: Comprehensively
understanding an attention head.","University of Texas at Austin, Google DeepMind, Independent",TRUE,2023-10-06,https://arxiv.org/abs/2310.04625,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
"C. Tigges, O. J. Hollinsworth, A. Geiger, and N. Nanda. Linear representations of sentiment in large language
models.","EleutherAI Institute, SERI MATS, Stanford University, Pr(AI)²R Group, Independent",TRUE,2023-10-23,https://arxiv.org/abs/2310.15154,GPT-2,GPT-2 Small,124000000,Pythia 85m to 2.8b,25.83,22.01,31.53,
"I. Tenney, P. Xia, B. Chen, A. Wang, A. Poliak, R. T. McCoy, N. Kim, B. V. Durme, S. Bowman, D. Das,
and E. Pavlick. What do you learn from context? probing for sentence structure in contextualized word
representations. ","Google AI Language, Johns Hopkins University, Swarthmore College, New York University, Brown University",TRUE,2019-05-15,https://arxiv.org/abs/1905.06316,GPT-2,GPT-2 Small,124000000,"CoVe, ELMo, GPT, and BERT",25.83,22.01,31.53,
J. Bloom and J. Lin. Understanding SAE features with the logit lens. ,MATS,FALSE,2024-03-10,https://www.alignmentforum.org/posts/qykrYY6rXXM7EEs8Q/understanding-sae-features-with-the-logit-lens,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
J. Bloom. Open source sparse autoencoders for all residual stream layers of GPT2 small. ,MATS,FALSE,2024-02-02,https://www.alignmentforum.org/posts/f9EgfLSurAiqRJySD/open-source-sparse-autoencoders-for-all-residual-stream,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
J. Vig. A multiscale visualization of attention in the transformer model. ,Palo Alto Research Center,FALSE,2019-06-12,https://arxiv.org/abs/1906.05714,GPT-2,GPT-2 Small,124000000,BERT-base,25.83,22.01,31.53,
"K. Ethayarajh. How contextual are contextualized word representations? Comparing the geometry of BERT,
ELMo, and GPT-2 embeddings. ",Stanford,FALSE,2019-09-02,https://arxiv.org/abs/1909.00512,GPT-2,GPT-2 Small,124000000,"BERT, ELMo, and GPT-2",25.83,22.01,31.53,
"K. R. Wang, A. Variengien, A. Conmy, B. Shlegeris, and J. Steinhardt. Interpretability in the wild: a circuit
for indirect object identification in GPT-2 small. ","Redwood Research, UC Berkeley",TRUE,2022-11-01,https://arxiv.org/abs/2211.00593,GPT-2,GPT-2 Small,124000000,GPT-2 Small,25.83,22.01,31.53,
"M. Geva, A. Caciularu, K. Wang, and Y. Goldberg. Transformer feed-forward layers build predictions by
promoting concepts in the vocabulary space. ","AI2, Bar-Ilan University, Independent",TRUE,2022-03-28,https://arxiv.org/abs/2203.14680,GPT-2,GPT-2 Small,124000000,WikiLM and GPT2-small,25.83,22.01,31.53,
"M. Hanna, O. Liu, and A. Variengien. How does GPT-2 compute greater-than?: Interpreting mathematical
abilities in a pre-trained language model.","University of Amsterdam, USC, Redwood Research",TRUE,2023-04-30,https://arxiv.org/abs/2305.00586,GPT-2,GPT-2 Small,124000000,GPT2-small,25.83,22.01,31.53,
"M. Hanna, S. Pezzelle, and Y. Belinkov. Have faith in faithfulness: Going beyond circuit overlap when finding
model mechanisms.","Technion, University of Amsterdam",FALSE,2024-03-26,https://arxiv.org/abs/2403.17806,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
"M. Sakarvadia, A. Khan, A. Ajith, D. Grzenda, N. Hudson, A. Bauer, K. Chard, and I. Foster. Attention lens:
A tool for mechanistically interpreting the attention head information retrieval mechanism.","U Chicago, Argonne National Laboratory",FALSE,2023-10-25,https://arxiv.org/abs/2310.16270,GPT-2,GPT-2 Small,124000000,GPT2-small,25.83,22.01,31.53,
N. Nanda. Attribution patching: Activation patching at industrial scale.,Independent,FALSE,2023-02-04,https://www.neelnanda.io/mechanistic-interpretability/attribution-patching,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
nostalgebraist. Interpreting GPT: the logit lens.,Independent,FALSE,2020-08-30,https://www.alignmentforum.org/posts/AcKRB8wDpdaN6v6ru/interpreting-GPT-the-logit-lens,GPT-2,GPT-2 Small,124000000,GPT2,25.83,22.01,31.53,
"R. Krzyzanowski, C. Kissane, A. Conmy, and N. Nanda. We inspected every head in GPT-2 small using saes
so you don’t have to.",MATS,FALSE,2024-03-06,https://www.alignmentforum.org/posts/xmegeW5mqiBsvoaim/we-inspected-every-head-in-GPT-2-small-using-saes-so-you-don,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
R. Molina. Traveling words: A geometric interpretation of transformers.,Independent,FALSE,2023-09-13,https://arxiv.org/abs/2309.07315,GPT-2,GPT-2 Small,124000000,GPT2-small,25.83,22.01,31.53,
W. Gurnee. Sae reconstruction errors are (empirically) pathological. ,MIT,FALSE,2024-03-29,https://www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empirically-pathological,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
"W. Timkey and M. van Schijndel. All bark and no bite: Rogue dimensions in transformer language models
obscure representational quality. ",Cornell University,FALSE,2021-09-09,https://arxiv.org/abs/2109.04404,GPT-2,GPT-2 Small,124000000,"BERT, RoBERTa, GPT-2, XLNet (GPT2, xlnet-base-cased, BERT-base-cased, roBERTa-base)",25.83,22.01,31.53,
"Z. Wu, A. Geiger, J. Huang, A. Arora, T. Icard, C. Potts, and N. D. Goodman. A reply to makelov et al. (2023)’s
""interpretability illusion"" arguments.","Stanford, Pr(AI)^2R Group",FALSE,2024-01-23,https://arxiv.org/abs/2401.12631,GPT-2,GPT-2 Small,124000000,,25.83,22.01,31.53,
C. Rushing and N. Nanda. Explorations of self-repair in language models.,University of Texas at Austin,FALSE,2024-02-23,https://arxiv.org/abs/2402.15390,Pythia,Pythia 160M,160000000,,24.95,22.78,30.34,
"X. L. Li, A. Holtzman, D. Fried, P. Liang, J. Eisner, T. Hashimoto, L. Zettlemoyer, and M. Lewis. Contrastive
decoding: Open-ended text generation as optimization.","Stanford, University of Washington, CMU, Facebook AI Research, Johns Hopkins",TRUE,2022-10-27,https://arxiv.org/abs/2210.15097,OPT,OPT 13B,13000000000,"OPT13-13B, OPT-125M",24.9,39.93,71.2,
Z. Zhao and B. Shan. Reagent: A model-agnostic feature attribution method for generative language models.,University of Sheffield,FALSE,2024-02-01,https://arxiv.org/abs/2402.00794,OPT,OPT 6.7B,6700000000,"GPT-{354M,1.5B,6B}, OPT-{350M,1.3B,6.7B}",24.57,39.16,59.48,
"A. Geiger, H. Lu, T. Icard, and C. Potts. Causal abstractions of neural networks. ",Stanford University,FALSE,2021-06-06,https://arxiv.org/abs/2106.02997,BERT,BERT-base,110000000,BLISTM,0,0,40.5,
"A. Geiger, K. Richardson, and C. Potts. Neural natural language inference models partially embed theories
of lexical entailment and negation.","Stanford University, Allen Institute for AI",TRUE,2020-04-30,https://arxiv.org/abs/2004.14623,BERT,BERT-base,110000000,"BLISTM, ESIM",0,0,40.5,
"A. Geiger, Z. Wu, C. Potts, T. Icard, and N. D. Goodman. Finding alignments between interpretable causal
variables and distributed neural representations.","Stanford University, Pr(AI)²R Group",FALSE,2023-03-05,https://arxiv.org/abs/2303.02536,BERT,BERT-base,110000000,,0,0,40.5,
"A. Geiger, Z. Wu, H. Lu, J. Rozner, E. Kreiss, T. Icard, N. D. Goodman, and C. Potts. Inducing causal structure
for interpretable neural networks.",Stanford University,FALSE,2021-12-1,https://arxiv.org/abs/2112.00826,BERT,BERT-base,110000000,,0,0,40.5,
"D. Dai, L. Dong, Y. Hao, Z. Sui, B. Chang, and F. Wei. Knowledge neurons in pretrained transformers. ","Peking University, Microsoft Research",TRUE,2021-04-18,https://arxiv.org/abs/2104.08696,BERT,BERT-base,110000000,,0,0,40.5,
"G. Brunner, Y. Liu, D. Pascual, O. Richter, M. Ciaramita, and R. Wattenhofer. On identifiability in transformers.
","ETH Zurich, Google Research",TRUE,2019-08-12,https://arxiv.org/abs/1908.04211,BERT,BERT-base,110000000,,0,0,40.5,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Attention is not only a weight: Analyzing transformers
with vector norms.","Tohoku University,  Langsmith Inc.,  RIKEN",TRUE,2020-04-21,https://arxiv.org/abs/2004.10102,BERT,BERT-base,110000000,,0,0,40.5,
"H. Chefer, S. Gur, and L. Wolf. Transformer interpretability beyond attention visualization.",Tel Aviv and Facebook AI Research,TRUE,2020-10-17,https://arxiv.org/abs/2012.09838,BERT,BERT-base,110000000,,0,0,40.5,
"J. Bastings, S. EBERT, P. Zablotskaia, A. Sandholm, and K. Filippova. “will you find these shortcuts?” a
protocol for evaluating the faithfulness of input salience methods for text classification. ",Google Research,TRUE,2021-11-14,https://arxiv.org/abs/2111.07367,BERT,BERT-base,110000000,,0,0,40.5,
"J. DeYoung, S. Jain, N. F. Rajani, E. Lehman, C. Xiong, R. Socher, and B. C. Wallace. ERASER: A benchmark
to evaluate rationalized NLP models.","Northeastern University, Salesforce Research",TRUE,2019-11-08,https://arxiv.org/abs/1911.03429v1,BERT,BERT-base,110000000,,0,0,40.5,
J. Enguehard. Sequential integrated gradients: a simple but effective method for explaining language models. ,"Skippr, Babylon Health",TRUE,2023-05-25,https://arxiv.org/abs/2305.15853,BERT,BERT-base,110000000,"BERT, DistilBERT and RoBERTa",0,0,40.5,
"J. Ferrando, G. I. Gállego, and M. R. Costa-jussà. Measuring the mixing of contextual information in the
transformer.",Universitat Politècnica de Catalunya,FALSE,2022-03-08,https://arxiv.org/abs/2203.04212,BERT,BERT-base,110000000,"BERT, DistilBERT and RoBERTa",0,0,40.5,
"K. Clark, U. Khandelwal, O. Levy, and C. D. Manning. What does BERT look at? an analysis of BERT’s
attention.","Stanford, Facebook AI Research",TRUE,2019-06-11,https://arxiv.org/abs/1906.04341,BERT,BERT-base,110000000,,0,0,40.5,
"N. Belrose, D. Schneider-Joseph, S. Ravfogel, R. Cotterell, E. Raff, and S. Biderman. LEACE: Perfect linear
concept erasure in closed form.","EleutherAI, Bar-Ilan University, Booz-Allen Hamilton, ETH Zurich",TRUE,2023-06-06,https://arxiv.org/abs/2306.03819,BERT,BERT-base,110000000,,0,0,40.5,
"O. Kovaleva, A. Romanov, A. Rogers, and A. Rumshisky. Revealing the dark secrets of BERT. ",U-Mass Lowell,FALSE,2019-08-21,https://arxiv.org/abs/1908.08593,BERT,BERT-base,110000000,BERT,0,0,40.5,
"P. Atanasova, J. G. Simonsen, C. Lioma, and I. Augenstein. A diagnostic study of explainability techniques
for text classification.",University of Copenhagen,FALSE,2020-09-25,https://arxiv.org/abs/2009.13295,BERT,BERT-base,110000000,"CNN, BERT, Transformer, LSTM",0,0,40.5,
"P. M. Htut, J. Phang, S. Bordia, and S. R. Bowman. Do attention heads in BERT track syntactic dependencies?",NYU,FALSE,2019-11-27,https://arxiv.org/abs/1911.12246,BERT,BERT-base,110000000,"BERT, Roborta",0,0,40.5,
"P. Michel, O. Levy, and G. Neubig. Are sixteen heads really better than one? ","CMU, Facebook AI Research",TRUE,2019-05-25,https://arxiv.org/abs/1905.10650,BERT,BERT-base,110000000,BERT,0,0,40.5,
"P. Pezeshkpour, S. Jain, S. Singh, and B. Wallace. Combining feature and instance attribution to detect artifacts.
","UC Irvine, Northeastern University",FALSE,2021-07-01,https://arxiv.org/abs/2107.00323,BERT,BERT-base,110000000,BERT,0,0,40.5,
"S. Ravfogel, M. Twiton, Y. Goldberg, and R. D. Cotterell. Linear adversarial concept erasure. ","Bar Ilan University, Allen Institue for Artificial Intelligence, ETH Zurich, Independent",TRUE,2022-01-28,https://arxiv.org/abs/2201.12091,BERT,BERT-base,110000000,Didnt specify whether they used the big or small version of BERT,0,0,40.5,
"T. Mickus, D. Paperno, and M. Constant. How to dissect a Muppet: The structure of transformer embedding
spaces.","University of Helsinki,  Utrecht University, Universite de Lorraine",FALSE,2022-06-07,https://arxiv.org/abs/2206.03529,BERT,BERT-base,110000000,,0,0,40.5,
"X. Han, B. C. Wallace, and Y. Tsvetkov. Explaining black box predictions and unveiling data artifacts
through influence functions.","CMU, Northeastern University",FALSE,2020-05-14,https://arxiv.org/abs/2005.06676,BERT,BERT-base,110000000,,0,0,40.5,
"Y. Bondarenko, M. Nagel, and T. Blankevoort. Quantizable transformers: Removing outliers by helping attention heads do nothing. ",qualcomm,TRUE,2023-06-22,https://arxiv.org/abs/2306.12929,BERT,BERT-base,110000000,,0,0,40.5,
"Y. Elazar, S. Ravfogel, A. Jacovi, and Y. Goldberg. Amnesic probing: Behavioral explanation with amnesic
counterfactuals. ",bar illan university,FALSE,2020-06-01,https://arxiv.org/abs/2006.00995,BERT,BERT-base,110000000,,0,0,40.5,
"N. De Cao, W. Aziz, and I. Titov. Editing factual knowledge in language models.","University of Amsterdam, University of Edinburgh",FALSE,2021-04-16,https://arxiv.org/abs/2104.08164,BART,BART base,139000000,BERT (fintuned),0,0,0,
"W. Merrill, V. Ramanujan, Y. Goldberg, R. Schwartz, and N. A. Smith. Effects of parameter norm growth
during transformer training: Inductive bias from gradient descent. ","Allen Institute for AI, New York University, University of Washington, Bar Ilan University,  Hebrew University of Jerusalem",TRUE,2020-10-19,https://arxiv.org/abs/2010.09697,t5,t5-base,220000000,,0,0,0,
"A. Modarressi, M. Fayyaz, Y. Yaghoobzadeh, and M. T. Pilehvar. GlobEnc: Quantifying global token attribution by incorporating the whole encoder layer in transformers. ","Iran University of Science and Technology, Iran 2 University of Tehran, Iran
3 Tehran Institute for Advanced Studies, Khatam University, Iran",FALSE,2022-05-06,https://arxiv.org/abs/2205.03286,BERT,BERT-large,340000000," BERT-base-uncased 110m, electra 335m",0,0,47.3,
"A. Rogers, O. Kovaleva, and A. Rumshisky. A Primer in BERTology: What We Know About How BERT
Works. ","University of Copenhagen, University of
Massachusetts Lowell",FALSE,2020-02-27,https://arxiv.org/abs/2002.12327,BERT,BERT-large,340000000,,0,0,47.3,
"A. Y. Din, T. Karidi, L. Choshen, and M. Geva. Jump to conclusions: Short-cutting transformers with linear
transformations.",1Hebrew University of Jerusalem 2Tel Aviv University,FALSE,2023-03-16,https://arxiv.org/abs/2303.09435,BERT,BERT-large,340000000," GPT-2, BERT-base-uncase",0,0,47.3,
"G. Kobayashi, T. Kuribayashi, S. Yokoi, and K. Inui. Analyzing feed-forward blocks in transformers through
the lens of attention map. ","Tohoku University, MBZUAI, RIKEN",TRUE,2023-02-01,https://arxiv.org/abs/2302.00456,BERT,BERT-large,340000000,"many other smaller models, incl. 5 other variants of BERT and GPT-2-small",0,0,47.3,
"I. Tenney, D. Das, and E. Pavlick. BERT rediscovers the classical NLP pipeline.","Google Research, Brown University",TRUE,2019-05-15,https://arxiv.org/abs/1905.05950,BERT,BERT-large,340000000,,0,0,47.3,
J. Hewitt and C. D. Manning. A structural probe for finding syntax in word representations.,Stanford,FALSE,2019-06-01,https://aclanthology.org/N19-1419,BERT,BERT-large,340000000,"BERT-base (110M9, elmo-base (130M)",0,0,47.3,
"N. De Cao, M. S. Schlichtkrull, W. Aziz, and I. Titov. How do decisions emerge across layers in neural models?
interpretation with differentiable masking. ","University of Amsterdam, University of Edinburgh",FALSE,2020-04-30,https://arxiv.org/abs/2004.14992,BERT,BERT-large,340000000,"BERT-based, BERTLarge",0,0,47.3,
"N. F. Liu, M. Gardner, Y. Belinkov, M. E. Peters, and N. A. Smith. Linguistic knowledge and transferability of contextual representations. ","University of Washington, Allen Institute for AI, Harvard, MIT CSAIL",FALSE,2019-03-21,https://arxiv.org/abs/1903.08855,BERT,BERT-large,340000000,"BERT (based, large) ELMO, GPT2",0,0,47.3,
"T. Bolukbasi, A. Pearce, A. Yuan, A. Coenen, E. Reif, F. Viégas, and M. Wattenberg. An interpretability illusion
for BERT.",Google Research,TRUE,2021-04-21,https://arxiv.org/abs/2104.07143,BERT,BERT-large,340000000,,0,0,47.3,
"T. McCoy, E. Pavlick, and T. Linzen. Right for the wrong reasons: Diagnosing syntactic heuristics in natural
language inference.","Johns Hopkins, Brown University",FALSE,2019-02-04,https://arxiv.org/abs/1902.01007,BERT,BERT-large,340000000,"BERT, ESIM, SPINN, and DA. BERT is the only transformer. ESIM is an RNN, SPINN is a TreeRNN, DA is a bag-of-words.",0,0,47.3,
"T. Pimentel, J. Valvoda, R. H. Maudslay, R. Zmigrod, A. Williams, and R. Cotterell. Information-theoretic
probing for linguistic structure.","University of Cambridge, Facebook AI Research, ETH Zürich",TRUE,2020-04-07,https://arxiv.org/abs/2004.03061,BERT,BERT-large,340000000,"fastText, one-hot encoding vectors",0,0,47.3,
"V. Lal, A. Ma, E. Aflalo, P. Howard, A. Simoes, D. Korat, O. Pereg, G. Singer, and M. Wasserblat. InterpreT: An
interactive visualization tool for interpreting transformers.",Intel Labs,TRUE,2021-04-19,https://aclanthology.org/2021.eacl-demos.17,BERT,BERT-large,340000000,,0,0,47.3,
"Y. Lin, Y. C. Tan, and R. Frank. Open sesame: Getting inside BERT’s linguistic knowledge. ",yale,FALSE,2019-06-04,https://arxiv.org/abs/1906.01698,BERT,BERT-large,340000000,,0,0,47.3,
S. Sanyal and X. Ren. Discretized integrated gradients for explaining language models. ,USC,FALSE,2021-08-31,https://arxiv.org/abs/2108.13654,RoBERTa,RoBERTa-large,354000000,BERT (3.4E8) DistilBERT (6.6E7),0,0,81.7,
"S. Yang, S. Huang, W. Zou, J. Zhang, X. Dai, and J. Chen. Local interpretation of transformer based on linear
decomposition.","
Nanjing University",FALSE,2023-07-09,https://aclanthology.org/2023.acl-long.572,RoBERTa,RoBERTa-large,354000000,,0,0,81.7,
"A. Haviv, I. Cohen, J. Gidron, R. Schuster, Y. Goldberg, and M. Geva. Understanding transformer memorization
recall through idioms.","Tel Aviv University, Wild Moose, Bar-Ilan University, Allen Institute for AI",TRUE,2022-10-07,https://arxiv.org/abs/2210.03588,GPT-2,GPT-2 Medium,355000000,"ROBERTA-BASE 125m, T5-BASE 223m, ELECTRA-BASE-GENERATOR 110m",0,0,0,
"G. Dar, M. Geva, A. Gupta, and J. Berant. Analyzing transformers in embedding space.","Tel Aviv University, AI2",TRUE,2022-09-06,https://arxiv.org/abs/2209.02535,GPT-2,GPT-2 Medium,355000000,,0,0,0,
"J. Merullo, C. Eickhoff, and E. Pavlick. Circuit component reuse across tasks in transformer language models.","Brown University, University of Tu ̈bingen",FALSE,2023-10-12,https://arxiv.org/abs/2310.08744,GPT-2,GPT-2 Medium,355000000,,0,0,0,
"M. A. Lepori, T. Serre, and E. Pavlick. Uncovering intermediate variables in transformers using circuit probing.",Brown University,FALSE,2023-11-07,https://arxiv.org/abs/2311.04354,GPT-2,GPT-2 Medium,355000000,GPT2-Small and GPT2-Medium,0,0,0,
S. Katz and Y. Belinkov. VISIT: Visualizing and interpreting the semantic information flow of transformers.,Technion,FALSE,2023-05-22,https://arxiv.org/abs/2305.13417,GPT-2,GPT-2 Medium,355000000,,0,0,0,
"J. Ferrando, G. I. Gállego, B. Alastruey, C. Escolano, and M. R. Costa-jussà. Towards opening the black
box of neural machine translation: Source and target interpretations of the transformer.","Universitat Politècnica de Catalunya, Meta AI",TRUE,2022-05-23,https://arxiv.org/abs/2205.11631,M2M,M2M100,418000000,,0,0,0,
C. Fierro and A. Søgaard. Factual consistency of multilingual pretrained language models. ,University of Copenhagen,FALSE,2022-03-22,https://arxiv.org/abs/2203.11552,XLM-RoBERTa,XLM-RoBERTa-large,550000000,,0,0,0,
"N. Durrani, F. Dalvi, and H. Sajjad. Discovering salient neurons in deep nlp models. ","Hamad Bin Khalifa University, Dalhousie University",FALSE,2022-06-27,https://arxiv.org/abs/2206.13288,XLM-RoBERTa,XLM-RoBERTa-large,550000000,"BERT, ROBERTA and XLNET",0,0,0,
"E. Akyurek, T. Bolukbasi, F. Liu, B. Xiong, I. Tenney, J. Andreas, and K. Guu. Towards tracing knowledge
in language models back to the training data. ","Google Research, MIT CSAIL",TRUE,2022-05-23,https://arxiv.org/abs/2205.11482,mt5,mt5,580000000,,0,0,0,
"G. Sarti, G. Chrupała, M. Nissim, and A. Bisazza. Quantifying the plausibility of context reliance in neural
machine translation. ","University of Groningen, Tilburg University",FALSE,2023-10-02,https://arxiv.org/abs/2310.01188,MBART,MBART,680000000,,0,0,0,
"E. Mitchell, C. Lin, A. Bosselut, C. D. Manning, and C. Finn. Memory-based model editing at scale. ","Stanford, EPFL",FALSE,2022-06-13,https://arxiv.org/abs/2206.06520,t5,t5-large,770000000,"BERT-base (110M), BlenderBot-90M",0,0,38.9,
"R. Nogueira, Z. Jiang, and J. Lin. Investigating the limitations of transformers with simple arithmetic tasks,
2021.",University of Waterloo,FALSE,2021-02-25,https://arxiv.org/abs/2102.13019,t5,t5-large,770000000,T5 models (except 11B),0,0,38.9,
"M. Costa-jussà, E. Smith, C. Ropers, D. Licht, J. Maillard, J. Ferrando, and C. Escolano. Toxicity in
multilingual machine translation at scale.","FAIR (META), Universitat Politecnica de Catalunya",TRUE,2022-10-06,https://arxiv.org/abs/2210.03070,NLLB,NLLB-200,3300000000,NLLB-200 3.3B,0,0,0,
"Z. Wu, A. Geiger, T. Icard, C. Potts, and N. Goodman. Interpretability at scale: Identifying causal mechanisms
in alpaca.",Stanford,FALSE,2023-05-15,https://arxiv.org/abs/2305.08809,Llama,Alpaca,7000000000,notes,0,0,0,
