paper,year,link
"R. Csordás, S. van Steenkiste, and J. Schmidhuber. Are neural nets modular? inspecting functional modularity
through differentiable weight masks. In International Conference on Learning Representations, 2021. URL
https://openreview.net/forum?id=7uVcpu-gMD.",2021,https://openreview.net/forum?id=7uVcpu-gMD.
"H. Cunningham, A. Ewart, L. Riggs, R. Huben, and L. Sharkey. Sparse autoencoders find highly interpretable
features in language models. Arxiv, 2023. URL https://arxiv.org/abs/2309.08600.",2023,https://arxiv.org/abs/2309.08600.
"D. Dai, L. Dong, Y. Hao, Z. Sui, B. Chang, and F. Wei. Knowledge neurons in pretrained transformers. In S. Muresan, P. Nakov, and A. Villavicencio (eds.), Proceedings of the 60th Annual Meeting of
the Association for Computational Linguistics (Volume 1: Long Papers), pp. 8493–8502, Dublin, Ireland,
May 2022. Association for Computational Linguistics. doi: 10.18653/v1/2022.acl-long.581. URL
https://aclanthology.org/2022.acl-long.581.",2022,https://aclanthology.org/2022.acl-long.581.
"D. Dale, E. Voita, L. Barrault, and M. R. Costa-jussà. Detecting and mitigating hallucinations in machine translation: Model internal workings alone do well, sentence similarity Even better. In A. Rogers, J. Boyd-Graber,
and N. Okazaki (eds.), Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 36–50, Toronto, Canada, July 2023a. Association for Computational
Linguistics. doi: 10.18653/v1/2023.acl-long.3. URL https://aclanthology.org/2023.acl-long.3.",2023,https://aclanthology.org/2023.acl-long.3.
"D. Dale, E. Voita, J. Lam, P. Hansanti, C. Ropers, E. Kalbassi, C. Gao, L. Barrault, and M. Costa-jussà.
HalOmi: A manually annotated benchmark for multilingual hallucination and omission detection in machine translation. In H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the 2023 Conference
on Empirical Methods in Natural Language Processing, pp. 638–653, Singapore, December 2023b. Association for Computational Linguistics. doi: 10.18653/v1/2023.emnlp- main.42. URL https:
//aclanthology.org/2023.emnlp-main.42.",2023,"https:
//aclanthology.org/2023.emnlp-main.42."
"F. Dalvi, N. Durrani, H. Sajjad, Y. Belinkov, A. Bau, and J. Glass. What is one grain of sand in the desert?
analyzing individual neurons in deep nlp models. In Proceedings of the Thirty-Third AAAI Conference
on Artificial Intelligence and Thirty-First Innovative Applications of Artificial Intelligence Conference and
Ninth AAAI Symposium on Educational Advances in Artificial Intelligence, AAAI’19/IAAI’19/EAAI’19.
AAAI Press, 2019. ISBN 978-1-57735-809-1. doi: 10.1609/aaai.v33i01.33016309. URL https:
//doi.org/10.1609/aaai.v33i01.33016309.",2019,"https:
//doi.org/10.1609/aaai.v33i01.33016309."
"P. A. Daniel Johnson. Penzai. GitHub repository, 2024. URL https://github.com/google-deepmind/pe
nzai.",2024,"https://github.com/google-deepmind/pe
nzai."
"J. Dao, Y.-T. Lau, C. Rager, and J. Janiak. An adversarial example for direct logit attribution: Memory management in gelu-4l, 2023.",2023,
"G. Dar, M. Geva, A. Gupta, and J. Berant. Analyzing transformers in embedding space. In A. Rogers,
J. Boyd-Graber, and N. Okazaki (eds.), Proceedings of the 61st Annual Meeting of the Association for
Computational Linguistics (Volume 1: Long Papers), pp. 16124–16170, Toronto, Canada, July 2023.
Association for Computational Linguistics. doi: 10.18653/v1/2023.acl- long.893. URL https:
//aclanthology.org/2023.acl-long.893.",2023,"https:
//aclanthology.org/2023.acl-long.893."
"T. Darcet, M. Oquab, J. Mairal, and P. Bojanowski. Vision transformers need registers. In The Twelfth International Conference on Learning Representations, 2024. URL https://openreview.net/forum?id=2dnO
3LLiJ1.",2024,"https://openreview.net/forum?id=2dnO
3LLiJ1."
"Y. N. Dauphin, A. Fan, M. Auli, and D. Grangier. Language modeling with gated convolutional networks. In
Proceedings of the 34th International Conference on Machine Learning - Volume 70, ICML’17, pp. 933–941.
JMLR.org, 2017.",2017,
"N. De Cao, M. S. Schlichtkrull, W. Aziz, and I. Titov. How do decisions emerge across layers in neural models?
interpretation with differentiable masking. In B. Webber, T. Cohn, Y. He, and Y. Liu (eds.), Proceedings of
the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP), pp. 3243–3255,
Online, November 2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.emnlp-main.
262. URL https://aclanthology.org/2020.emnlp-main.262.",2020,https://aclanthology.org/2020.emnlp-main.262.
"N. De Cao, W. Aziz, and I. Titov. Editing factual knowledge in language models. In M.-F. Moens,
X. Huang, L. Specia, and S. W.-t. Yih (eds.), Proceedings of the 2021 Conference on Empirical Methods
in Natural Language Processing, pp. 6491–6506, Online and Punta Cana, Dominican Republic, November 2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.emnlp-main.522. URL
https://aclanthology.org/2021.emnlp-main.522.",2021,https://aclanthology.org/2021.emnlp-main.522.
"N. De Cao, L. Schmid, D. Hupkes, and I. Titov. Sparse interventions in language models with differentiable
masking. In J. Bastings, Y. Belinkov, Y. Elazar, D. Hupkes, N. Saphra, and S. Wiegreffe (eds.), Proceedings
of the Fifth BlackboxNLP Workshop on Analyzing and Interpreting Neural Networks for NLP, pp. 16–27,
Abu Dhabi, United Arab Emirates (Hybrid), December 2022. Association for Computational Linguistics.
doi: 10.18653/v1/2022.blackboxnlp-1.2. URL https://aclanthology.org/2022.blackboxnlp-1.2.",2022,https://aclanthology.org/2022.blackboxnlp-1.2.
"B. Deiseroth, M. Deb, S. Weinbach, M. Brack, P. Schramowski, and K. Kersting. Atman: Understanding transformer predictions through memory efficient attention manipulation. In A. Oh, T. Neumann, A. Globerson,
K. Saenko, M. Hardt, and S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36,
pp. 63437–63460. Curran Associates, Inc., 2023. URL https://proceedings.neurips.cc/paper_fil
es/paper/2023/file/c83bc020a020cdeb966ed10804619664-Paper-Conference.pdf.",2023,"https://proceedings.neurips.cc/paper_fil
es/paper/2023/file/c83bc020a020cdeb966ed10804619664-Paper-Conference.pdf."
"M. Denil, A. Demiraj, and N. de Freitas. Extraction of salient sentences from labelled documents. Arxiv, 2015.
URL https://arxiv.org/abs/1412.6815.",2015,https://arxiv.org/abs/1412.6815.
"T. Dettmers, M. Lewis, Y. Belkada, and L. Zettlemoyer. Gpt3.int8(): 8-bit matrix multiplication for transformers at scale. In S. Koyejo, S. Mohamed, A. Agarwal, D. Belgrave, K. Cho, and A. Oh (eds.), Advances in
Neural Information Processing Systems, volume 35, pp. 30318–30332. Curran Associates, Inc., 2022. URL
https://proceedings.neurips.cc/paper_files/paper/2022/file/c3ba4962c05c49636d4c6206a97
e9c8a-Paper-Conference.pdf.",2022,"https://proceedings.neurips.cc/paper_files/paper/2022/file/c3ba4962c05c49636d4c6206a97
e9c8a-Paper-Conference.pdf."
"J. Devlin, M.-W. Chang, K. Lee, and K. Toutanova. BERT: Pre-training of deep bidirectional transformers for language understanding. In J. Burstein, C. Doran, and T. Solorio (eds.), Proceedings of the
2019 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), pp. 4171–4186, Minneapolis, Minnesota, June 2019. Association for Computational Linguistics. doi: 10.18653/v1/N19-1423. URL
https://aclanthology.org/N19-1423.",2019,https://aclanthology.org/N19-1423.
"J. DeYoung, S. Jain, N. F. Rajani, E. Lehman, C. Xiong, R. Socher, and B. C. Wallace. ERASER: A benchmark
to evaluate rationalized NLP models. In D. Jurafsky, J. Chai, N. Schluter, and J. Tetreault (eds.), Proceedings
of the 58th Annual Meeting of the Association for Computational Linguistics, pp. 4443–4458, Online, July
2020. Association for Computational Linguistics. doi: 10.18653/v1/2020.acl-main.408. URL https:
//aclanthology.org/2020.acl-main.408.",2020,"https:
//aclanthology.org/2020.acl-main.408."
"K. Dhamdhere, M. Sundararajan, and Q. Yan. How important is a neuron. In International Conference on
Learning Representations, 2019. URL https://openreview.net/forum?id=SylKoo0cKm.",2019,https://openreview.net/forum?id=SylKoo0cKm.
"S. Dhanorkar, C. T. Wolf, K. Qian, A. Xu, L. Popa, and Y. Li. Who needs to know what, when?: Broadening
the explainable ai (xai) design space by looking at explanations across the ai lifecycle. In Proceedings of
the 2021 ACM Designing Interactive Systems Conference, DIS ’21, pp. 1591–1602, New York, NY, USA,
2021. Association for Computing Machinery. ISBN 9781450384766. doi: 10.1145/3461778.3462131. URL
https://doi.org/10.1145/3461778.3462131.",2021,https://doi.org/10.1145/3461778.3462131.
"A. Y. Din, T. Karidi, L. Choshen, and M. Geva. Jump to conclusions: Short-cutting transformers with linear
transformations. Arxiv, 2023. URL https://arxiv.org/abs/2303.09435.",2023,https://arxiv.org/abs/2303.09435.
"S. Ding and P. Koehn. Evaluating saliency methods for neural language models. In K. Toutanova,
A. Rumshisky, L. Zettlemoyer, D. Hakkani-Tur, I. Beltagy, S. Bethard, R. Cotterell, T. Chakraborty,
and Y. Zhou (eds.), Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 5034–5052, Online, June
2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.naacl- main.399. URL
https://aclanthology.org/2021.naacl-main.399.",2021,https://aclanthology.org/2021.naacl-main.399.
"F. Doshi-Velez and B. Kim. Towards a rigorous science of interpretable machine learning, 2017. URL https:
//arxiv.org/abs/1702.08608.",2017,"https:
//arxiv.org/abs/1702.08608."
"N. Durrani, F. Dalvi, and H. Sajjad. Discovering salient neurons in deep nlp models. Journal of Machine
Learning Research, 24(362):1–40, 2023. URL http://jmlr.org/papers/v24/23-0074.html.",2023,http://jmlr.org/papers/v24/23-0074.html.
"Y. Elazar, S. Ravfogel, A. Jacovi, and Y. Goldberg. Amnesic probing: Behavioral explanation with amnesic
counterfactuals. Transactions of the Association for Computational Linguistics, 9:160–175, 03 2021. ISSN
2307-387X. doi: 10.1162/tacl_a_00359. URL https://doi.org/10.1162/tacl_a_00359.",2021,https://doi.org/10.1162/tacl_a_00359.
"N. Elhage, N. Nanda, C. Olsson, T. Henighan, N. Joseph, B. Mann, A. Askell, Y. Bai, A. Chen, T. Conerly,
N. DasSarma, D. Drain, D. Ganguli, Z. Hatfield-Dodds, D. Hernandez, A. Jones, J. Kernion, L. Lovitt,
K. Ndousse, D. Amodei, T. Brown, J. Clark, J. Kaplan, S. McCandlish, and C. Olah. A mathematical
framework for transformer circuits. Transformer Circuits Thread, 2021a. URL https://transformer-c
ircuits.pub/2021/framework/index.html.",2021,"https://transformer-c
ircuits.pub/2021/framework/index.html."
"N. Elhage, N. Nanda, C. Olsson, T. Henighan, N. Joseph, B. Mann, A. Askell, Y. Bai, A. Chen, T. Conerly,
N. DasSarma, D. Drain, D. Ganguli, Z. Hatfield-Dodds, D. Hernandez, A. Jones, J. Kernion, L. Lovitt,
K. Ndousse, D. Amodei, T. Brown, J. Clark, J. Kaplan, S. McCandlish, and C. Olah. Garcon. Transformer
Circuits Thread, 2021b. URL https://transformer-circuits.pub/2021/garcon/index.html.",2021,https://transformer-circuits.pub/2021/garcon/index.html.
"N. Elhage, T. Hume, C. Olsson, N. Nanda, T. Henighan, S. Johnston, S. ElShowk, N. Joseph, N. DasSarma,
B. Mann, D. Hernandez, A. Askell, K. Ndousse, A. Jones, D. Drain, A. Chen, Y. Bai, D. Ganguli, L. Lovitt,
Z. Hatfield-Dodds, J. Kernion, T. Conerly, S. Kravec, S. Fort, S. Kadavath, J. Jacobson, E. Tran-Johnson,
J. Kaplan, J. Clark, T. Brown, S. McCandlish, D. Amodei, and C. Olah. Softmax linear units. Transformer
Circuits Thread, 2022a. URL https://transformer-circuits.pub/2022/solu/index.html.",2022,https://transformer-circuits.pub/2022/solu/index.html.
"N. Elhage, T. Hume, C. Olsson, N. Schiefer, T. Henighan, S. Kravec, Z. Hatfield-Dodds, R. Lasenby, D. Drain,
C. Chen, R. Grosse, S. McCandlish, J. Kaplan, D. Amodei, M. Wattenberg, and C. Olah. Toy models of
superposition. Transformer Circuits Thread, 2022b. URL https://transformer-circuits.pub/2022/t
oy_model/index.html.",2022,"https://transformer-circuits.pub/2022/t
oy_model/index.html."
"N. Elhage, R. Lasenby, and C. Olah. Privileged bases in the transformer residual stream. Transformer Circuits
Thread, 2023. URL https://transformer-circuits.pub/2023/privileged-basis/index.html.",2023,https://transformer-circuits.pub/2023/privileged-basis/index.html.
"J. Enguehard. Sequential integrated gradients: a simple but effective method for explaining language models. In
A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Findings of the Association for Computational Linguistics: ACL 2023, pp. 7555–7565, Toronto, Canada, July 2023. Association for Computational Linguistics.
doi: 10.18653/v1/2023.findings-acl.477. URL https://aclanthology.org/2023.findings-acl.477.",2023,https://aclanthology.org/2023.findings-acl.477.
"K. Ethayarajh. How contextual are contextualized word representations? Comparing the geometry of BERT,
ELMo, and GPT-2 embeddings. In K. Inui, J. Jiang, V. Ng, and X. Wan (eds.), Proceedings of the
2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint
Conference on Natural Language Processing (EMNLP-IJCNLP), pp. 55–65, Hong Kong, China, November 2019. Association for Computational Linguistics. doi: 10.18653/v1/D19- 1006. URL https:
//aclanthology.org/D19-1006.",2019,"https:
//aclanthology.org/D19-1006."
"K. Ethayarajh and D. Jurafsky. Attention flows are shapley value explanations. In C. Zong, F. Xia, W. Li, and
R. Navigli (eds.), Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics
and the 11th International Joint Conference on Natural Language Processing (Volume 2: Short Papers), pp.
49–54, Online, August 2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.acl-short.8.
URL https://aclanthology.org/2021.acl-short.8.",2021,https://aclanthology.org/2021.acl-short.8.
"N. Feldhus, L. Hennig, M. D. Nasert, C. Ebert, R. Schwarzenberg, and S. Möller. Saliency map verbalization: Comparing feature importance representations from model-free and instruction-based methods.
In B. Dalvi Mishra, G. Durrett, P. Jansen, D. Neves Ribeiro, and J. Wei (eds.), Proceedings of the 1st
Workshop on Natural Language Reasoning and Structured Explanations (NLRSE), pp. 30–46, Toronto,
Canada, June 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.nlrse-1.4. URL
https://aclanthology.org/2023.nlrse-1.4.",2023,https://aclanthology.org/2023.nlrse-1.4.
"J. Ferrando and M. R. Costa-jussà. Attention weights in transformer NMT fail aligning words between
sequences but largely explain model predictions. In M.-F. Moens, X. Huang, L. Specia, and S. W.-
t. Yih (eds.), Findings of the Association for Computational Linguistics: EMNLP 2021, pp. 434–443,
Punta Cana, Dominican Republic, November 2021. Association for Computational Linguistics. doi:
10.18653/v1/2021.findings-emnlp.39. URL https://aclanthology.org/2021.findings-emnlp.39.",2021,https://aclanthology.org/2021.findings-emnlp.39.
"J. Ferrando and E. Voita. Information flow routes: Automatically interpreting language models at scale. Arxiv,
2024. URL https://arxiv.org/abs/2403.00824.",2024,https://arxiv.org/abs/2403.00824.
"J. Ferrando, G. I. Gállego, B. Alastruey, C. Escolano, and M. R. Costa-jussà. Towards opening the black
box of neural machine translation: Source and target interpretations of the transformer. In Y. Goldberg,
Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural
Language Processing, pp. 8756–8769, Abu Dhabi, United Arab Emirates, December 2022a. Association for
Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.599. URL https://aclanthology.org
/2022.emnlp-main.599.",2022,"https://aclanthology.org
/2022.emnlp-main.599."
"J. Ferrando, G. I. Gállego, and M. R. Costa-jussà. Measuring the mixing of contextual information in the
transformer. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Proceedings of the 2022 Conference on
Empirical Methods in Natural Language Processing, pp. 8698–8714, Abu Dhabi, United Arab Emirates,
December 2022b. Association for Computational Linguistics. doi: 10.18653/v1/2022.emnlp-main.595.
URL https://aclanthology.org/2022.emnlp-main.595.",2022,https://aclanthology.org/2022.emnlp-main.595.
"J. Ferrando, G. I. Gállego, I. Tsiamas, and M. R. Costa-jussà. Explaining how transformers use context to
build predictions. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Proceedings of the 61st Annual
Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp. 5486–5513, Toronto,
Canada, July 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.acl-long.301. URL
https://aclanthology.org/2023.acl-long.301.",2023,https://aclanthology.org/2023.acl-long.301.
"C. Fierro and A. Søgaard. Factual consistency of multilingual pretrained language models. In S. Muresan,
P. Nakov, and A. Villavicencio (eds.), Findings of the Association for Computational Linguistics: ACL 2022,
pp. 3046–3052, Dublin, Ireland, May 2022. Association for Computational Linguistics. doi: 10.18653/v1/
2022.findings-acl.240. URL https://aclanthology.org/2022.findings-acl.240.",2022,https://aclanthology.org/2022.findings-acl.240.
"J. Fiotto-Kaufman. nnsight: The package for interpreting and manipulating the internals of deep learned models. , 2024. URL https://github.com/JadenFiotto-Kaufman/nnsight.",2024,https://github.com/JadenFiotto-Kaufman/nnsight.
"M. Fomicheva, S. Sun, L. Yankovskaya, F. Blain, F. Guzmán, M. Fishel, N. Aletras, V. Chaudhary, and
L. Specia. Unsupervised quality estimation for neural machine translation. Transactions of the Association for Computational Linguistics, 8:539–555, 2020. doi: 10.1162/tacl_a_00330. URL https:
//aclanthology.org/2020.tacl-1.35.",2020,"https:
//aclanthology.org/2020.tacl-1.35."
"D. Friedman, A. Wettig, and D. Chen. Learning transformer programs. In A. Oh, T. Neumann, A. Globerson,
K. Saenko, M. Hardt, and S. Levine (eds.), Advances in Neural Information Processing Systems, volume 36.
Curran Associates, Inc., 2023. URL https://openreview.net/forum?id=Pe9WxkN8Ff.",2023,https://openreview.net/forum?id=Pe9WxkN8Ff.
"A. Geiger, K. Richardson, and C. Potts. Neural natural language inference models partially embed theories
of lexical entailment and negation. In A. Alishahi, Y. Belinkov, G. Chrupała, D. Hupkes, Y. Pinter, and
H. Sajjad (eds.), Proceedings of the Third BlackboxNLP Workshop on Analyzing and Interpreting Neural
Networks for NLP, pp. 163–173, Online, November 2020. Association for Computational Linguistics. doi:
10.18653/v1/2020.blackboxnlp-1.16. URL https://aclanthology.org/2020.blackboxnlp-1.16.",2020,https://aclanthology.org/2020.blackboxnlp-1.16.
"A. Geiger, H. Lu, T. Icard, and C. Potts. Causal abstractions of neural networks. In M. Ranzato, A. Beygelzimer, Y. Dauphin, P. Liang, and J. W. Vaughan (eds.), Advances in Neural Information Processing Systems,
volume 34, pp. 9574–9586. Curran Associates, Inc., 2021. URL https://proceedings.neurips.cc/pap
er_files/paper/2021/file/4f5c422f4d49a5a807eda27434231040-Paper.pdf.",2021,"https://proceedings.neurips.cc/pap
er_files/paper/2021/file/4f5c422f4d49a5a807eda27434231040-Paper.pdf."
"A. Geiger, Z. Wu, H. Lu, J. Rozner, E. Kreiss, T. Icard, N. D. Goodman, and C. Potts. Inducing causal structure
for interpretable neural networks, 2022. URL https://arxiv.org/abs/2112.00826.",2022,https://arxiv.org/abs/2112.00826.
"A. Geiger, C. Potts, and T. Icard. Causal abstraction for faithful model interpretation, 2023a. URL https:
//arxiv.org/abs/2301.04709.",,"https:
//arxiv.org/abs/2301.04709."
"A. Geiger, Z. Wu, C. Potts, T. Icard, and N. D. Goodman. Finding alignments between interpretable causal
variables and distributed neural representations, 2023b. URL https://arxiv.org/abs/2303.02536.",,https://arxiv.org/abs/2303.02536.
"G. Gemma Team, T. Mesnard, C. Hardin, R. Dadashi, S. Bhupatiraju, S. Pathak, L. Sifre, M. Rivière, M. S.
Kale, J. Love, P. Tafti, L. Hussenot, P. G. Sessa, A. Chowdhery, A. Roberts, A. Barua, A. Botev, A. CastroRos, A. Slone, A. Héliou, A. Tacchetti, A. Bulanova, A. Paterson, B. Tsai, B. Shahriari, C. L. Lan, C. A.
Choquette-Choo, C. Crepy, D. Cer, D. Ippolito, D. Reid, E. Buchatskaya, E. Ni, E. Noland, G. Yan,
G. Tucker, G.-C. Muraru, G. Rozhdestvenskiy, H. Michalewski, I. Tenney, I. Grishchenko, J. Austin, J. Keeling, J. Labanowski, J.-B. Lespiau, J. Stanway, J. Brennan, J. Chen, J. Ferret, J. Chiu, J. Mao-Jones, K. Lee,
K. Yu, K. Millican, L. L. Sjoesund, L. Lee, L. Dixon, M. Reid, M. Mikuła, M. Wirth, M. Sharman, N. Chinaev, N. Thain, O. Bachem, O. Chang, O. Wahltinez, P. Bailey, P. Michel, P. Yotov, R. Chaabouni, R. Comanescu, R. Jana, R. Anil, R. McIlroy, R. Liu, R. Mullins, S. L. Smith, S. Borgeaud, S. Girgin, S. Douglas,
S. Pandya, S. Shakeri, S. De, T. Klimenko, T. Hennigan, V. Feinberg, W. Stokowiec, Y. hui Chen, Z. Ahmed,
Z. Gong, T. Warkentin, L. Peran, M. Giang, C. Farabet, O. Vinyals, J. Dean, K. Kavukcuoglu, D. Hassabis, Z. Ghahramani, D. Eck, J. Barral, F. Pereira, E. Collins, A. Joulin, N. Fiedel, E. Senter, A. Andreev,
and K. Kenealy. Gemma: Open models based on gemini research and technology. ArXiv, 2024. URL
https://arxiv.org/abs/2403.08295.",2024,https://arxiv.org/abs/2403.08295.
"M. Geva, R. Schuster, J. Berant, and O. Levy. Transformer feed-forward layers are key-value memories. In M.-
F. Moens, X. Huang, L. Specia, and S. W.-t. Yih (eds.), Proceedings of the 2021 Conference on Empirical
Methods in Natural Language Processing, pp. 5484–5495, Online and Punta Cana, Dominican Republic,
November 2021. Association for Computational Linguistics. doi: 10.18653/v1/2021.emnlp-main.446. URL
https://aclanthology.org/2021.emnlp-main.446.",2021,https://aclanthology.org/2021.emnlp-main.446.
"M. Geva, A. Caciularu, G. Dar, P. Roit, S. Sadde, M. Shlain, B. Tamir, and Y. Goldberg. LM-debugger: An interactive tool for inspection and intervention in transformer-based language models. In W. Che and E. Shutova
(eds.), Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing: System
Demonstrations, pp. 12–21, Abu Dhabi, UAE, December 2022a. Association for Computational Linguistics.
doi: 10.18653/v1/2022.emnlp-demos.2. URL https://aclanthology.org/2022.emnlp-demos.2.",2022,https://aclanthology.org/2022.emnlp-demos.2.
"M. Geva, A. Caciularu, K. Wang, and Y. Goldberg. Transformer feed-forward layers build predictions by
promoting concepts in the vocabulary space. In Y. Goldberg, Z. Kozareva, and Y. Zhang (eds.), Proceedings
of the 2022 Conference on Empirical Methods in Natural Language Processing, pp. 30–45, Abu Dhabi,
United Arab Emirates, December 2022b. Association for Computational Linguistics. doi: 10.18653/v1/20
22.emnlp-main.3. URL https://aclanthology.org/2022.emnlp-main.3.",2022,https://aclanthology.org/2022.emnlp-main.3.
"M. Geva, J. Bastings, K. Filippova, and A. Globerson. Dissecting recall of factual associations in autoregressive language models. In H. Bouamor, J. Pino, and K. Bali (eds.), Proceedings of the 2023 Conference on Empirical Methods in Natural Language Processing, pp. 12216–12235, Singapore, December 2023. Association for Computational Linguistics. doi: 10.18653/v1/2023.emnlp-main.751. URL
https://aclanthology.org/2023.emnlp-main.751.",2023,https://aclanthology.org/2023.emnlp-main.751.
"A. Ghandeharioun, A. Caciularu, A. Pearce, L. Dixon, and M. Geva. Patchscopes: A unifying framework for
inspecting hidden representations of language models. Arxiv, 2024. URL https://arxiv.org/abs/2401
.06102v2.",2024,"https://arxiv.org/abs/2401
.06102v2."
"N. Goldowsky-Dill, C. MacLeod, L. Sato, and A. Arora. Localizing model behavior with path patching. Arxiv,
2023. URL https://arxiv.org/abs/2304.05969.",2023,https://arxiv.org/abs/2304.05969.
"R. Gould, E. Ong, G. Ogden, and A. Conmy. Successor heads: Recurring, interpretable attention heads in the
wild. In The Twelfth International Conference on Learning Representations, 2024. URL https://openre
view.net/forum?id=kvcbV8KQsi.",2024,"https://openre
view.net/forum?id=kvcbV8KQsi."
"D. Groeneveld, I. Beltagy, P. Walsh, A. Bhagia, R. Kinney, O. Tafjord, A. H. Jha, H. Ivison, I. Magnusson,
Y. Wang, S. Arora, D. Atkinson, R. Authur, K. R. Chandu, A. Cohan, J. Dumas, Y. Elazar, Y. Gu, J. Hessel,
T. Khot, W. Merrill, J. Morrison, N. Muennighoff, A. Naik, C. Nam, M. E. Peters, V. Pyatkin, A. Ravichander, D. Schwenk, S. Shah, W. Smith, E. Strubell, N. Subramani, M. Wortsman, P. Dasigi, N. Lambert,
K. Richardson, L. Zettlemoyer, J. Dodge, K. Lo, L. Soldaini, N. A. Smith, and H. Hajishirzi. Olmo: Accelerating the science of language models, 2024.",2024,
"R. B. Grosse, J. Bae, C. Anil, N. Elhage, A. Tamkin, A. Tajdini, B. Steiner, D. Li, E. Durmus, E. Perez,
E. Hubinger, K. Lukovsiut.e, K. Nguyen, N. Joseph, S. McCandlish, J. Kaplan, and S. Bowman. Studying
large language model generalization with influence functions. ArXiv, abs/2308.03296, 2023. URL https:
//api.semanticscholar.org/CorpusID:260682872.",2023,"https:
//api.semanticscholar.org/CorpusID:260682872."
"A. Gu and T. Dao. Mamba: Linear-time sequence modeling with selective state spaces, 2023.",2023,
"J.-C. Gu, H. Xu, J.-Y. Ma, P. Lu, Z.-H. Ling, K. wei Chang, and N. Peng. Model editing can hurt general
abilities of large language models. ArXiv, abs/2401.04700, 2024. URL https://api.semanticscholar.
org/CorpusID:266899568.",2024,"https://api.semanticscholar.
org/CorpusID:266899568."
"C. Guerner, A. Svete, T. Liu, A. Warstadt, and R. Cotterell. A geometric notion of causal probing, 2023.",2023,
"N. M. Guerreiro, P. Colombo, P. Piantanida, and A. Martins. Optimal transport for unsupervised hallucination
detection in neural machine translation. In A. Rogers, J. Boyd-Graber, and N. Okazaki (eds.), Proceedings
of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pp.
13766–13784, Toronto, Canada, July 2023a. Association for Computational Linguistics. doi: 10.18653/v1/
2023.acl-long.770. URL https://aclanthology.org/2023.acl-long.770.",2023,https://aclanthology.org/2023.acl-long.770.
"N. M. Guerreiro, E. Voita, and A. Martins. Looking for a needle in a haystack: A comprehensive study of
hallucinations in neural machine translation. In A. Vlachos and I. Augenstein (eds.), Proceedings of the
17th Conference of the European Chapter of the Association for Computational Linguistics, pp. 1059–1075,
Dubrovnik, Croatia, May 2023b. Association for Computational Linguistics. doi: 10.18653/v1/2023.eacl-m
ain.75. URL https://aclanthology.org/2023.eacl-main.75.",2023,https://aclanthology.org/2023.eacl-main.75.
"A. Gupta, G. Boleda, M. Baroni, and S. Padó. Distributional vectors encode referential attributes. In
L. Màrquez, C. Callison-Burch, and J. Su (eds.), Proceedings of the 2015 Conference on Empirical Methods
in Natural Language Processing, pp. 12–21, Lisbon, Portugal, September 2015. Association for Computational Linguistics. doi: 10.18653/v1/D15-1002. URL https://aclanthology.org/D15-1002.",2015,https://aclanthology.org/D15-1002.
"A. Gupta, A. Rao, and G. K. Anumanchipalli. Model editing at scale leads to gradual and catastrophic forgetting. ArXiv, abs/2401.07453, 2024a. URL https://api.semanticscholar.org/CorpusID:266999650.",,https://api.semanticscholar.org/CorpusID:266999650.
"A. Gupta, D. Sajnani, and G. Anumanchipalli. A unified framework for model editing, 2024b.",,
"W. Gurnee. Sae reconstruction errors are (empirically) pathological. AI Alignment Forum, 2024. URL https:
//www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empir
ically-pathological.",2024,"https:
//www.alignmentforum.org/posts/rZPiuFxESMxCDHe4B/sae-reconstruction-errors-are-empir
ically-pathological."
"W. Gurnee and M. Tegmark. Language models represent space and time. In The Twelfth International Conference on Learning Representations, 2024. URL https://openreview.net/forum?id=jE8xbmvFin.",2024,https://openreview.net/forum?id=jE8xbmvFin.
